n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
128825,131000,seed=131010 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,43007,109347,128825,43007,43007,2.9954426023670564,20,2,1,63,48.640653,3.830969,0.181054,0.432228,44.196402
127954,131000,seed=131011 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42649,108561,127954,42649,42649,3.0001641304602686,17,2,1,63,32.403753,3.505106,0.176252,0.412358,28.310037
128525,131000,seed=131012 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42855,109123,128525,42855,42855,2.9990666199976665,17,2,1,43,29.020691,3.475394,0.174845,0.401964,24.968488
127438,131000,seed=131013 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42418,107988,127438,42418,42418,3.004337781130652,19,2.0,1,49,26.70127,3.447287,0.174843,0.404723,22.674417
128612,131000,seed=131014 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,43014,109393,128612,43014,43014,2.990003254754266,17,2.0,1,44,33.282241,3.515285,0.176233,0.403963,29.18676
128827,131000,seed=131015 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42960,109415,128827,42960,42960,2.998766294227188,18,2.0,1,52,95.706415,3.999863,0.18772,0.443729,91.075103
128910,131000,seed=131016 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42841,109258,128910,42841,42841,3.009033402581639,16,2,1,46,29.454851,3.497115,0.177104,0.402195,25.378437
128562,131000,seed=131017 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42939,109223,128562,42939,42939,2.994061342835185,16,2,1,60,37.129775,3.576908,0.179961,0.448044,32.924862
129126,131000,seed=131018 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,43085,109568,129126,43085,43085,2.9970059185331324,16,2,1,56,31.627717,3.558843,0.179648,0.444399,27.444827
128541,131000,seed=131019 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42747,108937,128541,42747,42747,3.0070180363534282,17,2,1,47,25.691613,3.49347,0.173247,0.403527,21.621369
128272,131000,seed=131020 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,42718,108751,128272,42718,42718,3.0027623016058804,17,2.0,1,49,33.6716,3.606162,0.177457,0.405462,29.482519
