n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
274332,374148,seed=374158 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,203335,420002,274332,203335,203335,1.349162711781051,85,1,1,420001,269.86713,86.595511,0.548601,1.577985,181.145033
259202,374148,seed=374159 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,190657,394449,259202,190657,190657,1.3595199756631018,91,1,1,394448,344.594729,161.586228,0.505418,1.46154,181.041543
253368,374148,seed=374160 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,185060,383316,253368,185060,185060,1.3691127201988544,82,1.0,1,383315,397.416401,214.231903,0.487197,1.443231,181.25407
259698,374148,seed=374161 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,190866,394846,259698,190866,190866,1.3606299707648297,92,1.0,1,394845,564.22981,381.214355,0.512779,1.500054,181.002622
259704,374148,seed=374162 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,190639,394479,259704,190639,190639,1.362281589811109,87,1,1,394478,259.915684,76.860267,0.515393,1.531399,181.008625
246980,374148,seed=374163 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,178988,371184,246980,178988,178988,1.3798690414999888,86,1.0,1,119,307.872894,52.470573,0.498576,1.357987,253.545758
261654,374148,seed=374164 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,192318,397780,261654,192318,192318,1.360527875705862,94,1.0,1,397779,556.946959,373.944875,0.522958,1.460678,181.018448
301791,374148,seed=374165 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,228996,471313,301791,228996,228996,1.3178876486925535,81,1.0,1,471312,346.676164,162.839898,0.6484,1.867437,181.320429
268220,374148,seed=374166 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,198156,409564,268220,198156,198156,1.353580007670724,79,1.0,1,409563,275.701369,92.535524,0.514344,1.526193,181.125308
280610,374148,seed=374167 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,208823,431082,280610,208823,208823,1.3437696039229394,91,1,1,431081,303.434118,120.071854,0.556441,1.610491,181.195332
263040,374148,seed=374168 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,193550,400370,263040,193550,193550,1.3590286747610436,83,1.0,1,400369,372.721994,189.566208,0.546421,1.497317,181.112048
