n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
12246,12353,seed=12363 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5432,12718,12246,5432,5432,2.254418262150221,30,2.0,1,29,7.411664,0.227674,0.018506,0.04688,7.118604
11956,12353,seed=12364 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5217,12246,11956,5217,5217,2.291738547057696,19,2,1,46,2.441998,0.129028,0.016413,0.042801,2.253756
12197,12353,seed=12365 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5323,12482,12197,5323,5323,2.291377043020853,20,2,1,36,6.525853,0.223404,0.017756,0.047395,6.237298
12118,12353,seed=12366 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5206,12294,12118,5206,5206,2.3276988090664616,32,2.0,1,33,5.66951,0.145159,0.017125,0.046622,5.460604
11858,12353,seed=12367 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5144,12112,11858,5144,5144,2.3052099533437014,22,2.0,1,38,2.559896,0.13012,0.016162,0.042374,2.37124
12131,12353,seed=12368 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5330,12490,12131,5330,5330,2.275984990619137,30,2.0,1,36,4.697234,0.150245,0.017731,0.046682,4.482576
12061,12353,seed=12369 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5295,12425,12061,5295,5295,2.27780925401322,26,2,1,37,5.330052,0.140764,0.01688,0.045,5.127408
12071,12353,seed=12370 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5248,12328,12071,5248,5248,2.300114329268293,25,2.0,1,41,6.300498,0.157312,0.018313,0.046014,6.078859
12018,12353,seed=12371 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5205,12250,12018,5205,5205,2.308933717579251,21,2,1,42,2.858903,0.133378,0.017332,0.043146,2.665047
11924,12353,seed=12372 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5147,12157,11924,5147,5147,2.3166893335923837,25,2,1,41,3.463967,0.126727,0.01669,0.042411,3.278139
11897,12353,seed=12373 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,5158,12129,11897,5158,5158,2.3065141527723925,23,2.0,1,44,2.709127,0.129855,0.016365,0.042954,2.519953
