n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
58549,59627,seed=59637 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26620,61897,58549,26620,26620,2.199436513899324,31,2.0,1,91,85.079117,1.655911,0.098132,0.260693,83.064381
58294,59627,seed=59638 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26409,61487,58294,26409,26409,2.2073535537127493,19,2,1,83,46.580834,1.487604,0.090236,0.244556,44.758438
58596,59627,seed=59639 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26337,61457,58596,26337,26337,2.2248547670577516,27,2,1,79,46.132731,1.660669,0.092613,0.247752,44.131697
58570,59627,seed=59640 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26606,61956,58570,26606,26606,2.201383146658648,29,2.0,1,84,74.544543,1.737675,0.093644,0.254972,72.458252
58719,59627,seed=59641 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26607,61903,58719,26607,26607,2.2069004397339045,24,2,1,95,85.450566,1.853662,0.096232,0.259878,83.240794
58581,59627,seed=59642 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26542,61787,58581,26542,26542,2.207105719237435,24,2.0,1,79,63.971635,1.816106,0.09563,0.26043,61.799469
58617,59627,seed=59643 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26440,61655,58617,26440,26440,2.216981845688351,28,2.0,1,87,79.300848,1.883223,0.099527,0.267404,77.050694
58270,59627,seed=59644 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26266,61182,58270,26266,26266,2.2184573212518086,22,2.0,1,95,32.377629,1.469692,0.08995,0.240815,30.577172
58403,59627,seed=59645 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26459,61627,58403,26459,26459,2.207301863260138,23,2,1,90,50.717842,1.53964,0.091448,0.249699,48.837055
58569,59627,seed=59646 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26447,61682,58569,26447,26447,2.214580103603433,26,2,1,95,83.873922,1.811025,0.093813,0.257364,81.71172
58491,59627,seed=59647 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,26549,61781,58491,26549,26549,2.2031338280161212,25,2,1,95,46.476183,1.587143,0.091464,0.249334,44.548242
