n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
26445,27140,seed=27150 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11518,27107,26445,11518,11518,2.2959715228338253,27,2.0,1,46,11.495707,0.381483,0.039106,0.09688,10.978238
26554,27140,seed=27151 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11634,27307,26554,11634,11634,2.282447997249441,28,2.0,1,44,17.182363,0.422368,0.040579,0.100323,16.619093
26235,27140,seed=27152 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11421,26814,26235,11421,11421,2.297084318360914,27,2,1,39,8.748389,0.353749,0.039449,0.093411,8.26178
26440,27140,seed=27153 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11487,27021,26440,11487,11487,2.3017323931400715,27,2,1,39,9.05431,0.364545,0.038102,0.095846,8.555817
26396,27140,seed=27154 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11555,27140,26396,11555,11555,2.2843790566854176,23,2,1,50,10.4002,0.358895,0.038044,0.095014,9.908247
26688,27140,seed=27155 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11741,27539,26688,11741,11741,2.273060216335917,26,2,1,35,34.261227,0.627808,0.04331,0.102453,33.487656
26295,27140,seed=27156 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11408,26855,26295,11408,11408,2.304961430575035,23,2.0,1,43,11.102,0.386044,0.03953,0.096071,10.580355
26363,27140,seed=27157 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11564,27123,26363,11564,11564,2.279747492217226,24,2.0,1,40,12.150019,0.365601,0.03795,0.097811,11.648657
26553,27140,seed=27158 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11647,27368,26553,11647,11647,2.2798145445179014,30,2,1,41,16.554948,0.424873,0.041503,0.099238,15.989334
26305,27140,seed=27159 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11574,27129,26305,11574,11574,2.2727665457058923,23,2.0,1,46,11.313447,0.390637,0.039125,0.097677,10.786008
26352,27140,seed=27160 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,11421,26889,26352,11421,11421,2.307328605200946,28,2,1,46,9.451916,0.375483,0.037759,0.094798,8.943876
