n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
44858,45867,seed=45877 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19591,46010,44858,19591,19591,2.2897248736664797,35,2,1,49,51.309574,0.979405,0.075127,0.182936,50.072106
44661,45867,seed=45878 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19490,45789,44661,19490,19490,2.291482811698307,23,2.0,1,46,30.352968,0.854716,0.068237,0.168816,29.261199
44890,45867,seed=45879 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19710,46244,44890,19710,19710,2.2775240994419077,35,2.0,1,48,51.76042,0.969909,0.072754,0.186107,50.53165
44591,45867,seed=45880 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19333,45512,44591,19333,19333,2.3064708012207107,30,2,1,55,23.80563,0.830233,0.068652,0.16839,22.738355
44633,45867,seed=45881 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19469,45771,44633,19469,19469,2.2925163079767836,26,2,1,48,26.016058,0.772039,0.067114,0.16549,25.011415
44709,45867,seed=45882 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19346,45552,44709,19346,19346,2.311020365967125,39,2.0,1,43,34.159913,0.807633,0.066941,0.171815,33.113524
44455,45867,seed=45883 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19312,45437,44455,19312,19312,2.30193661971831,24,2.0,1,55,18.50646,0.745661,0.066393,0.160479,17.533927
44564,45867,seed=45884 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19338,45577,44564,19338,19338,2.304478229392905,29,2.0,1,47,23.835284,0.758287,0.065584,0.16372,22.847693
44719,45867,seed=45885 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19355,45594,44719,19355,19355,2.3104624128132265,28,2,1,45,22.722172,0.804631,0.06676,0.170305,21.680476
44386,45867,seed=45886 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19325,45452,44386,19325,19325,2.296817593790427,25,2,1,51,18.162994,0.750534,0.06432,0.160561,17.187579
44786,45867,seed=45887 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,19605,46063,44786,19605,19605,2.2844172404998724,33,2,1,44,37.061017,0.858529,0.071249,0.178468,35.952771
