n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
15867,16059,seed=16069 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5360,13603,15867,5360,5360,2.960261194029851,16,2.0,1,39,1.960517,0.193274,0.02088,0.041091,1.705272
15943,16059,seed=16070 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5407,13697,15943,5407,5407,2.948585167375624,15,2,1,46,2.050212,0.19365,0.02105,0.041135,1.794377
15876,16059,seed=16071 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5414,13706,15876,5414,5414,2.9323974879940895,15,2.0,1,47,2.241274,0.195173,0.020133,0.041442,1.984526
15931,16059,seed=16072 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5532,13916,15931,5532,5532,2.8797903109182936,15,2.0,1,40,4.363593,0.215274,0.021187,0.045019,4.082113
15750,16059,seed=16073 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5348,13542,15750,5348,5348,2.945026178010471,15,2.0,1,48,2.107506,0.194915,0.020116,0.041669,1.850806
15932,16059,seed=16074 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5427,13714,15932,5427,5427,2.935691910816289,15,2,1,55,2.499964,0.204966,0.020854,0.043267,2.230877
15970,16059,seed=16075 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5399,13735,15970,5399,5399,2.9579551768846084,15,2,1,44,4.004546,0.217813,0.021326,0.052367,3.71304
15693,16059,seed=16076 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5328,13509,15693,5328,5328,2.9453828828828827,14,2.0,1,33,1.475435,0.173123,0.019439,0.036685,1.246188
15728,16059,seed=16077 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5361,13584,15728,5361,5361,2.9337810110054092,14,2,1,39,1.825863,0.183593,0.020746,0.03856,1.582964
15842,16059,seed=16078 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5422,13715,15842,5422,5422,2.9218000737735155,15,2.0,1,43,2.182422,0.191536,0.021611,0.049175,1.9201
15917,16059,seed=16079 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,5372,13659,15917,5372,5372,2.9629560685033507,15,2.0,1,51,2.32372,0.198539,0.020566,0.042498,2.062117
