n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
616397,632311,seed=632321 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,268631,631678,616397,268631,268631,2.294586254006425,47,2,1,631677,254.906755,68.167706,1.252257,3.301656,182.185136
617531,632311,seed=632322 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,269554,633327,617531,269554,269554,2.29093613895546,55,2.0,1,633326,260.998996,73.958538,1.332988,3.553099,182.154371
615655,632311,seed=632323 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,268330,630889,615655,268330,268330,2.2943949614280923,49,2.0,1,85,317.683801,61.741109,1.250599,3.203247,251.488846
617747,632311,seed=632324 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,269875,634143,617747,269875,269875,2.2890115794349235,56,2,1,634142,258.17381,71.0928,1.285989,3.551515,182.243506
615145,632311,seed=632325 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,267817,629693,615145,267817,267817,2.296885559915913,45,2,1,85,249.86401,58.10301,1.2162,3.188385,187.356415
616880,632311,seed=632326 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,269377,633163,616880,269377,269377,2.2900247608370425,49,2,1,633162,255.031527,68.202676,1.255684,3.456323,182.116844
615156,632311,seed=632327 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,267802,629937,615156,267802,267802,2.2970552871151075,45,2.0,1,83,252.154328,60.435474,1.245384,3.23431,187.23916
614905,632311,seed=632328 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,267852,629757,614905,267852,267852,2.295689410570016,47,2.0,1,90,251.158592,59.619082,1.236748,3.066018,187.236744
618584,632311,seed=632329 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,270180,634711,618584,270180,270180,2.289525501517507,46,2.0,1,634710,277.992346,91.068362,1.346328,3.233745,182.343911
619117,632311,seed=632330 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,270891,636337,619117,270891,270891,2.285483829289271,48,2,1,636336,273.39593,86.256291,1.297833,3.580742,182.261064
618079,632311,seed=632331 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,269635,633620,618079,269635,269635,2.292280304856565,67,2,1,633619,251.157036,64.016561,1.282517,3.580371,182.277587
