Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,PartLargestBag.error_status,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1269 type=girg,,2427,495,500,GirgGen,0.007835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.906890595608518,1.2060301507537687,1.0,5,0.3424657534246575,0.0,25,325,4,0.0684931506849315,0.0,5,1,0.0273972602739726,0.0,2,18,2.164383561643836,1.0,158,0,0.0,0.0,0,Partition(BranchingPartition),success,0.028243,none,398,HTD,,0.014688,13,,,,,,,none,PartitionTreedec,0.052622
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1269 type=girg,,2427,495,500,GirgGen,0.022112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.906890595608518,1.2060301507537687,1.0,7,0.410958904109589,0.0,30,325,0,0.0,0.0,0,3,0.0547945205479452,0.0,4,27,2.3835616438356166,1.0,174,0,0.0,0.0,0,Partition(BranchingPartition),success,0.028995,none,398,HTD,,0.014488,13,,,,,,,none,PartitionTreedec,0.067466
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1270 type=girg,,2474,494,500,GirgGen,0.008519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.285402218862249,1.112271540469974,1.0,2,0.2619047619047619,0.0,11,341,0,0.0,0.0,0,0,0.0,0.0,0,8,1.4285714285714286,1.0,60,1,0.19047619047619047,0.0,8,Partition(BranchingPartition),success,0.021363,none,383,HTD,,0.014701,15,,,,,,,none,PartitionTreedec,0.046505
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1270 type=girg,,2474,494,500,GirgGen,0.042653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.285402218862249,1.112271540469974,1.0,2,0.2619047619047619,0.0,11,341,0,0.0,0.0,0,0,0.0,0.0,0,8,1.4285714285714286,1.0,60,1,0.19047619047619047,0.0,8,Partition(BranchingPartition),success,0.021421,none,383,HTD,,0.016969,15,,,,,,,none,PartitionTreedec,0.082953
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1270 type=girg,,2474,494,500,GirgGen,0.008481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.285402218862249,1.112271540469974,1.0,2,0.2619047619047619,0.0,11,341,0,0.0,0.0,0,0,0.0,0.0,0,8,1.9047619047619047,1.0,80,0,0.0,0.0,0,Partition(BranchingPartition),success,0.021233,none,383,HTD,,0.014622,15,,,,,,,none,PartitionTreedec,0.046212
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1270 type=girg,,2474,494,500,GirgGen,0.010067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.285402218862249,1.112271540469974,1.0,1,0.23809523809523808,0.0,10,341,1,0.023809523809523808,0.0,1,0,0.0,0.0,0,5,1.3571428571428572,1.0,57,1,0.19047619047619047,0.0,8,Partition(BranchingPartition),success,0.020922,none,383,HTD,,0.018237,15,,,,,,,none,PartitionTreedec,0.051089
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1270 type=girg,,2474,494,500,GirgGen,0.012345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.285402218862249,1.112271540469974,1.0,2,0.2619047619047619,0.0,11,341,0,0.0,0.0,0,0,0.0,0.0,0,8,1.9047619047619047,1.0,80,0,0.0,0.0,0,Partition(BranchingPartition),success,0.022491,none,383,HTD,,0.015289,15,,,,,,,none,PartitionTreedec,0.052072
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1270 type=girg,,2474,494,500,GirgGen,0.030777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.285402218862249,1.112271540469974,1.0,1,0.23809523809523808,0.0,10,341,1,0.023809523809523808,0.0,1,0,0.0,0.0,0,5,1.8333333333333333,1.0,77,0,0.0,0.0,0,Partition(BranchingPartition),success,0.021688,none,383,HTD,,0.016199,15,,,,,,,none,PartitionTreedec,0.070486
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1271 type=girg,,2486,481,500,GirgGen,0.064045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,7.076815597050831,1.1603260869565217,1.0,4,0.46938775510204084,0.0,23,319,0,0.0,0.0,0,0,0.0,0.0,0,15,1.9387755102040816,1.0,95,1,0.30612244897959184,0.0,15,Partition(BranchingPartition),success,0.024373,none,368,HTD,,0.01421,18,,,,,,,none,PartitionTreedec,0.104642
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1271 type=girg,,2486,481,500,GirgGen,0.032421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,7.076815597050831,1.1603260869565217,1.0,4,0.46938775510204084,0.0,23,319,0,0.0,0.0,0,0,0.0,0.0,0,15,1.9387755102040816,1.0,95,1,0.30612244897959184,0.0,15,Partition(BranchingPartition),success,0.023847,none,368,HTD,,0.015685,18,,,,,,,none,PartitionTreedec,0.073927
