Contraction:avg_deg,Contraction:in_n,Contraction:largest_clique,Contraction:max_deg,Contraction:out_n,Contraction:time,GraphInput:girg_options,GraphInput:graph,GraphInput:m,GraphInput:n,GraphInput:n_gen,GraphInput:option,GraphInput:time,PartLargestBag:max_partition_num,PartLargestBag:max_weight,PartLargestBag:mean_partition_num,PartLargestBag:median_partition_num,PartLargestBag:partition_option,PartLargestBag:time,Partition:AssignVertices:option,Partition:AssignVertices:time,Partition:MaximalIS:option,Partition:MaximalIS:size,Partition:MaximalIS:time,Partition:amount,Partition:average,Partition:hs_size,Partition:largest,Partition:median,Partition:num_branching,Partition:num_dead_end,Partition:num_lb2_reductions,Partition:num_lb_reductions,Partition:num_leaves,Partition:num_long_paths,Partition:num_sw_reductions,Partition:option,Partition:product_weight,Partition:smallest,Partition:time,PartitionBags:max_partition_num,PartitionBags:max_weight,PartitionBags:mean_partition_num,PartitionBags:median_partition_num,PartitionBags:partition_option,PartitionBags:time,Treewidth:clique_number,Treewidth:num_bags,Treewidth:option,Treewidth:time,Treewidth:treewidth,WeightedTreewidth:elimination_width,WeightedTreewidth:option,WeightedTreewidth:time,WeightedTreewidth:time_elimination_game,WeightedTreewidth:treewidth,option,time
,,,,,,,DD_g274,837,302,,ReadEL,0.016159,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.754887502163468,3.3008474576271185,3.0,Partition(FastLargestClique),0.038871,5,236,HTD,0.010139,17,,,,,,PartitionTreedec,0.065395
,,,,,,,DD_g275,720,331,,ReadEL,0.001893,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.169925001442312,2.8254545454545457,2.0,Partition(FastLargestClique),0.040744,5,275,HTD,0.008012,13,,,,,,PartitionTreedec,0.050869
,,,,,,,DD_g276,824,345,,ReadEL,0.004246,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.754887502163468,2.524822695035461,2.0,Partition(FastLargestClique),0.039852,5,282,HTD,0.00845,11,,,,,,PartitionTreedec,0.052805
,,,,,,,DD_g277,668,271,,ReadEL,0.002433,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17.75488750216347,3.497716894977169,3.0,Partition(FastLargestClique),0.036363,5,219,HTD,0.007847,19,,,,,,PartitionTreedec,0.046853
,,,,,,,DD_g278,1150,471,,ReadEL,0.01959,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,2.848563968668407,2.0,Partition(FastLargestClique),0.053396,5,383,HTD,0.156902,15,,,,,,PartitionTreedec,0.230161
,,,,,,,DD_g279,1039,415,,ReadEL,0.013026,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,3.408284023668639,3.0,Partition(FastLargestClique),0.129108,5,338,HTD,0.131598,15,,,,,,PartitionTreedec,0.274017
,,,,,,,DD_g27,1029,363,,ReadEL,0.022183,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,22.094737505048094,3.3963636363636365,3.0,Partition(FastLargestClique),0.042377,5,275,HTD,0.011043,27,,,,,,PartitionTreedec,0.075881
,,,,,,,DD_g280,888,296,,ReadEL,0.004326,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15.509775004326936,3.3377777777777777,3.0,Partition(FastLargestClique),0.04051,5,225,HTD,0.010807,17,,,,,,PartitionTreedec,0.055858
,,,,,,,DD_g281,1217,512,,ReadEL,0.005761,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17.509775004326936,3.1864406779661016,2.0,Partition(FastLargestClique),0.061556,5,413,HTD,0.145173,19,,,,,,PartitionTreedec,0.212762
,,,,,,,DD_g282,1661,592,,ReadEL,0.003786,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,24.094737505048094,3.8215859030837005,3.0,Partition(FastLargestClique),0.076979,5,454,HTD,0.154146,28,,,,,,PartitionTreedec,0.235197
,,,,,,,DD_g283,517,231,,ReadEL,0.003156,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.339850002884624,2.695876288659794,2.0,Partition(FastLargestClique),0.028342,5,194,HTD,0.006934,12,,,,,,PartitionTreedec,0.03865
,,,,,,,DD_g284,857,327,,ReadEL,0.019065,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.339850002884624,3.007518796992481,3.0,Partition(FastLargestClique),0.054367,5,266,HTD,0.00838,12,,,,,,PartitionTreedec,0.082037
,,,,,,,DD_g285,519,220,,ReadEL,0.001543,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.169925001442312,2.994350282485876,2.0,Partition(FastLargestClique),0.028219,5,177,HTD,0.007552,13,,,,,,PartitionTreedec,0.037525
,,,,,,,DD_g286,877,358,,ReadEL,0.006711,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15.509775004326936,2.9381443298969074,2.0,Partition(FastLargestClique),0.045523,5,291,HTD,0.039117,17,,,,,,PartitionTreedec,0.091578
,,,,,,,DD_g287,595,252,,ReadEL,0.01805,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.584962500721156,2.9903381642512077,2.0,Partition(FastLargestClique),0.032197,5,207,HTD,0.008618,12,,,,,,PartitionTreedec,0.059084
,,,,,,,DD_g288,867,293,,ReadEL,0.009754,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,19.169925001442312,3.310185185185185,3.0,Partition(FastLargestClique),0.039144,5,216,HTD,0.012993,21,,,,,,PartitionTreedec,0.0621
,,,,,,,DD_g289,871,372,,ReadEL,0.019203,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12.754887502163468,2.9084967320261437,2.0,Partition(FastLargestClique),0.047955,5,306,HTD,0.029378,13,,,,,,PartitionTreedec,0.096751
,,,,,,,DD_g28,702,258,,ReadEL,0.006314,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16.339850002884624,3.293269230769231,3.0,Partition(FastLargestClique),0.035219,5,208,HTD,0.009328,17,,,,,,PartitionTreedec,0.051079
,,,,,,,DD_g290,976,352,,ReadEL,0.038222,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14.339850002884624,3.0755395683453237,2.0,Partition(FastLargestClique),0.042764,5,278,HTD,0.010879,15,,,,,,PartitionTreedec,0.092124
,,,,,,,DD_g291,736,262,,ReadEL,0.001801,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17.92481250360578,3.63681592039801,3.0,Partition(FastLargestClique),0.033832,5,201,HTD,0.008448,21,,,,,,PartitionTreedec,0.044308
,,,,,,,DD_g292,497,173,,ReadEL,0.001862,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.339850002884624,2.9407407407407407,2.0,Partition(FastLargestClique),0.021508,5,135,HTD,0.007301,11,,,,,,PartitionTreedec,0.030872
,,,,,,,DD_g293,1041,438,,ReadEL,0.006444,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14.339850002884624,3.0335195530726256,2.0,Partition(FastLargestClique),0.052904,5,358,HTD,0.013651,15,,,,,,PartitionTreedec,0.073278
,,,,,,,DD_g294,2741,1160,,ReadEL,0.005345,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.75488750216347,3.0481171548117154,2.0,Partition(FastLargestClique),0.146158,5,956,HTD,0.135449,17,,,,,,PartitionTreedec,0.287287
,,,,,,,DD_g295,532,197,,ReadEL,0.001407,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.584962500721156,3.025,3.0,Partition(FastLargestClique),0.024631,5,160,HTD,0.029673,14,,,,,,PartitionTreedec,0.055916
,,,,,,,DD_g296,359,157,,ReadEL,0.023791,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.169925001442312,2.584,2.0,Partition(FastLargestClique),0.018342,5,125,HTD,0.005685,10,,,,,,PartitionTreedec,0.048024
,,,,,,,DD_g297,423,198,,ReadEL,0.005403,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.169925001442312,3.0710059171597632,3.0,Partition(FastLargestClique),0.03002,4,169,HTD,0.00742,10,,,,,,PartitionTreedec,0.043054
,,,,,,,DD_g298,1038,427,,ReadEL,0.004711,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.754887502163468,3.5044510385756675,3.0,Partition(FastLargestClique),0.053193,5,337,HTD,0.011993,17,,,,,,PartitionTreedec,0.070161
,,,,,,,DD_g299,1591,571,,ReadEL,0.008955,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,29.094737505048094,3.782511210762332,3.0,Partition(FastLargestClique),0.07573,5,446,HTD,0.018767,33,,,,,,PartitionTreedec,0.103745
,,,,,,,DD_g29,1160,393,,ReadEL,0.004764,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,23.094737505048094,3.7560137457044673,3.0,Partition(FastLargestClique),0.076557,5,291,HTD,0.221287,26,,,,,,PartitionTreedec,0.302868
,,,,,,,DD_g2,791,351,,ReadEL,0.00444,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.339850002884624,2.9405594405594404,2.0,Partition(FastLargestClique),0.05293,5,286,HTD,0.013544,14,,,,,,PartitionTreedec,0.071129
,,,,,,,DD_g300,628,277,,ReadEL,0.002806,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.92481250360578,3.004366812227074,2.0,Partition(FastLargestClique),0.035285,5,229,HTD,0.008026,17,,,,,,PartitionTreedec,0.046332
,,,,,,,DD_g301,1062,445,,ReadEL,0.002967,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.754887502163468,3.1363636363636362,3.0,Partition(FastLargestClique),0.278069,5,352,HTD,0.033025,14,,,,,,PartitionTreedec,0.314319
,,,,,,,DD_g302,1493,555,,ReadEL,0.050632,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20.75488750216347,3.3189066059225514,3.0,Partition(FastLargestClique),0.229393,5,439,HTD,0.15287,22,,,,,,PartitionTreedec,0.433151
,,,,,,,DD_g303,533,209,,ReadEL,0.003543,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.339850002884624,3.1077844311377247,3.0,Partition(FastLargestClique),0.027121,5,167,HTD,0.015837,16,,,,,,PartitionTreedec,0.04671
,,,,,,,DD_g304,939,370,,ReadEL,0.008876,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18.75488750216347,3.3966101694915256,3.0,Partition(FastLargestClique),0.046274,5,295,HTD,0.042365,21,,,,,,PartitionTreedec,0.097788
,,,,,,,DD_g305,611,278,,ReadEL,0.007542,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11.584962500721156,2.831111111111111,2.0,Partition(FastLargestClique),0.034823,5,225,HTD,0.012669,11,,,,,,PartitionTreedec,0.055251
,,,,,,,DD_g306,656,245,,ReadEL,0.006847,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16.094737505048094,3.163265306122449,2.0,Partition(FastLargestClique),0.03293,5,196,HTD,0.051697,18,,,,,,PartitionTreedec,0.091689
,,,,,,,DD_g307,1029,344,,ReadEL,0.01878,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19.094737505048094,3.4307692307692306,3.0,Partition(FastLargestClique),0.044444,5,260,HTD,0.01176,21,,,,,,PartitionTreedec,0.075233
,,,,,,,DD_g308,558,232,,ReadEL,0.002215,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.906890595608518,2.8842105263157896,2.0,Partition(FastLargestClique),0.031855,5,190,HTD,0.007394,12,,,,,,PartitionTreedec,0.041681
,,,,,,,DD_g309,745,306,,ReadEL,0.002611,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.339850002884624,2.877049180327869,2.0,Partition(FastLargestClique),0.037595,5,244,HTD,0.008034,12,,,,,,PartitionTreedec,0.048459
,,,,,,,DD_g30,613,242,,ReadEL,0.001631,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13.339850002884624,3.0406091370558377,2.0,Partition(FastLargestClique),0.030579,5,197,HTD,0.007171,15,,,,,,PartitionTreedec,0.039597
,,,,,,,DD_g310,1493,636,,ReadEL,0.006065,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17.339850002884624,3.0076923076923077,2.0,Partition(FastLargestClique),0.131657,5,520,HTD,0.014988,18,,,,,,PartitionTreedec,0.152975
,,,,,,,DD_g311,736,308,,ReadEL,0.00204,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.169925001442312,2.8346774193548385,2.0,Partition(FastLargestClique),0.038581,5,248,HTD,0.009967,13,,,,,,PartitionTreedec,0.050809
,,,,,,,DD_g312,571,239,,ReadEL,0.001597,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17.169925001442312,3.295336787564767,3.0,Partition(FastLargestClique),0.031251,5,193,HTD,0.007132,17,,,,,,PartitionTreedec,0.040191
,,,,,,,DD_g313,1493,639,,ReadEL,0.003254,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,25.509775004326936,3.7036328871892925,3.0,Partition(FastLargestClique),0.082263,5,523,HTD,0.046723,27,,,,,,PartitionTreedec,0.132526
,,,,,,,DD_g314,945,347,,ReadEL,0.030391,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20.094737505048094,3.370909090909091,3.0,Partition(FastLargestClique),0.043415,5,275,HTD,0.012138,22,,,,,,PartitionTreedec,0.086186
,,,,,,,DD_g315,932,404,,ReadEL,0.002265,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.0,2.556547619047619,2.0,Partition(FastLargestClique),0.046617,5,336,HTD,0.010749,10,,,,,,PartitionTreedec,0.059892
,,,,,,,DD_g316,609,241,,ReadEL,0.001521,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.339850002884624,2.9123711340206184,2.0,Partition(FastLargestClique),0.029765,5,194,HTD,0.006644,11,,,,,,PartitionTreedec,0.038218
,,,,,,,DD_g317,2830,1019,,ReadEL,0.008141,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,31.094737505048094,3.7525125628140703,3.0,Partition(FastLargestClique),0.167466,5,796,HTD,0.215893,33,,,,,,PartitionTreedec,0.391851
,,,,,,,DD_g318,1339,464,,ReadEL,0.004861,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18.92481250360578,3.256267409470752,3.0,Partition(FastLargestClique),0.059046,5,359,HTD,0.014332,23,,,,,,PartitionTreedec,0.078508
,,,,,,,DD_g319,612,259,,ReadEL,0.025703,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,3.0142857142857142,2.0,Partition(FastLargestClique),0.031847,5,210,HTD,0.009889,13,,,,,,PartitionTreedec,0.067662
,,,,,,,DD_g31,1496,557,,ReadEL,0.008263,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,32.50977500432693,3.5112612612612613,3.0,Partition(FastLargestClique),0.081614,5,444,HTD,0.016601,39,,,,,,PartitionTreedec,0.106762
,,,,,,,DD_g320,569,236,,ReadEL,0.003517,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,2.9946236559139785,2.0,Partition(FastLargestClique),0.029702,5,186,HTD,0.007517,12,,,,,,PartitionTreedec,0.040948
,,,,,,,DD_g321,456,205,,ReadEL,0.002536,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.754887502163468,3.0833333333333335,3.0,Partition(FastLargestClique),0.041436,5,168,HTD,0.026324,11,,,,,,PartitionTreedec,0.070537
,,,,,,,DD_g322,328,157,,ReadEL,0.001657,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.584962500721156,2.5703703703703704,2.0,Partition(FastLargestClique),0.020131,5,135,HTD,0.005926,9,,,,,,PartitionTreedec,0.027927
,,,,,,,DD_g323,1847,664,,ReadEL,0.004632,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,22.92481250360578,3.3078393881453154,3.0,Partition(FastLargestClique),0.082168,5,523,HTD,0.202427,25,,,,,,PartitionTreedec,0.289487
,,,,,,,DD_g324,300,135,,ReadEL,0.019668,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.754887502163468,2.5794392523364484,2.0,Partition(FastLargestClique),0.016454,5,107,HTD,0.005546,7,,,,,,PartitionTreedec,0.04188
,,,,,,,DD_g325,701,327,,ReadEL,0.001826,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.339850002884624,2.820143884892086,2.0,Partition(FastLargestClique),0.044833,5,278,HTD,0.016719,12,,,,,,PartitionTreedec,0.063592
,,,,,,,DD_g326,788,317,,ReadEL,0.002229,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18.92481250360578,3.4280155642023344,3.0,Partition(FastLargestClique),0.043102,5,257,HTD,0.008536,21,,,,,,PartitionTreedec,0.054077
,,,,,,,DD_g327,614,248,,ReadEL,0.008266,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.169925001442312,2.8636363636363638,2.0,Partition(FastLargestClique),0.030319,5,198,HTD,0.032595,13,,,,,,PartitionTreedec,0.071401
,,,,,,,DD_g328,705,242,,ReadEL,0.003397,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14.339850002884624,3.1793478260869565,3.0,Partition(FastLargestClique),0.030226,5,184,HTD,0.009056,16,,,,,,PartitionTreedec,0.042895
,,,,,,,DD_g329,1235,499,,ReadEL,0.002988,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17.92481250360578,3.4325,3.0,Partition(FastLargestClique),0.065118,5,400,HTD,0.134582,19,,,,,,PartitionTreedec,0.202956
,,,,,,,DD_g32,474,173,,ReadEL,0.019322,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.584962500721156,2.4029850746268657,2.0,Partition(FastLargestClique),0.023683,5,134,HTD,0.00886,10,,,,,,PartitionTreedec,0.052075
,,,,,,,DD_g330,1177,449,,ReadEL,0.003954,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17.491853096329674,3.2492917847025495,3.0,Partition(FastLargestClique),0.055279,5,353,HTD,0.138308,21,,,,,,PartitionTreedec,0.197787
,,,,,,,DD_g331,294,131,,ReadEL,0.001809,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.584962500721156,2.701923076923077,2.5,Partition(FastLargestClique),0.015276,4,104,HTD,0.00573,10,,,,,,PartitionTreedec,0.023026
,,,,,,,DD_g332,652,252,,ReadEL,0.012492,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,3.145,2.0,Partition(FastLargestClique),0.033568,5,200,HTD,0.033971,16,,,,,,PartitionTreedec,0.080237
,,,,,,,DD_g333,622,257,,ReadEL,0.021915,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,2.7904761904761903,2.0,Partition(FastLargestClique),0.032717,5,210,HTD,0.013249,12,,,,,,PartitionTreedec,0.0681
,,,,,,,DD_g334,481,180,,ReadEL,0.015201,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.339850002884624,2.7464788732394365,2.0,Partition(FastLargestClique),0.02686,5,142,HTD,0.006551,12,,,,,,PartitionTreedec,0.048827
,,,,,,,DD_g335,826,305,,ReadEL,0.003748,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.169925001442312,2.7219917012448134,2.0,Partition(FastLargestClique),0.037209,5,241,HTD,0.013246,11,,,,,,PartitionTreedec,0.054419
,,,,,,,DD_g336,435,168,,ReadEL,0.016712,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.92481250360578,2.9545454545454546,2.0,Partition(FastLargestClique),0.02277,5,132,HTD,0.006635,13,,,,,,PartitionTreedec,0.046326
,,,,,,,DD_g337,420,159,,ReadEL,0.004518,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.169925001442312,2.8396946564885495,2.0,Partition(FastLargestClique),0.021799,5,131,HTD,0.016622,9,,,,,,PartitionTreedec,0.043137
,,,,,,,DD_g338,1379,516,,ReadEL,0.003299,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,39.60451250937502,4.07,3.0,Partition(FastLargestClique),0.065648,6,400,HTD,0.195136,46,,,,,,PartitionTreedec,0.264329
,,,,,,,DD_g339,630,282,,ReadEL,0.001778,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.0,2.4675324675324677,2.0,Partition(FastLargestClique),0.032554,5,231,HTD,0.010983,9,,,,,,PartitionTreedec,0.045539
,,,,,,,DD_g33,1236,435,,ReadEL,0.01119,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,27.67970000576925,3.8144927536231883,3.0,Partition(FastLargestClique),0.056208,5,345,HTD,0.01346,30,,,,,,PartitionTreedec,0.081114
,,,,,,,DD_g340,501,188,,ReadEL,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,2.9281045751633985,2.0,Partition(FastLargestClique),0.024525,5,153,HTD,0.006641,12,,,,,,PartitionTreedec,0.032873
,,,,,,,DD_g341,509,214,,ReadEL,0.002495,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.584962500721156,2.302325581395349,2.0,Partition(FastLargestClique),0.023498,5,172,HTD,0.011679,8,,,,,,PartitionTreedec,0.037889
,,,,,,,DD_g342,686,312,,ReadEL,0.004718,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.754887502163468,2.852830188679245,2.0,Partition(FastLargestClique),0.042051,5,265,HTD,0.021875,11,,,,,,PartitionTreedec,0.068856
,,,,,,,DD_g343,435,189,,ReadEL,0.002472,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14.339850002884624,3.554838709677419,3.0,Partition(FastLargestClique),0.026163,4,155,HTD,0.022473,15,,,,,,PartitionTreedec,0.051311
,,,,,,,DD_g344,424,190,,ReadEL,0.022688,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.754887502163468,2.4276315789473686,2.0,Partition(FastLargestClique),0.021447,5,152,HTD,0.00907,9,,,,,,PartitionTreedec,0.053419
,,,,,,,DD_g345,741,336,,ReadEL,0.00268,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,2.901818181818182,2.0,Partition(FastLargestClique),0.041424,4,275,HTD,0.008619,15,,,,,,PartitionTreedec,0.052942
,,,,,,,DD_g346,462,192,,ReadEL,0.00338,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.169925001442312,3.026143790849673,3.0,Partition(FastLargestClique),0.02443,5,153,HTD,0.080352,11,,,,,,PartitionTreedec,0.108372
,,,,,,,DD_g347,708,280,,ReadEL,0.004206,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.169925001442312,3.162280701754386,3.0,Partition(FastLargestClique),0.037268,5,228,HTD,0.009029,13,,,,,,PartitionTreedec,0.050723
,,,,,,,DD_g348,1118,469,,ReadEL,0.009016,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,3.1036269430051813,2.0,Partition(FastLargestClique),0.057068,5,386,HTD,0.146178,15,,,,,,PartitionTreedec,0.212512
,,,,,,,DD_g349,2086,897,,ReadEL,0.010849,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.339850002884624,2.743935309973046,2.0,Partition(FastLargestClique),0.233864,5,742,HTD,0.115022,14,,,,,,PartitionTreedec,0.360058
,,,,,,,DD_g34,491,220,,ReadEL,0.026249,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.584962500721156,2.460227272727273,2.0,Partition(FastLargestClique),0.025797,5,176,HTD,0.007299,6,,,,,,PartitionTreedec,0.059559
,,,,,,,DD_g350,2557,1103,,ReadEL,0.005014,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17.584962500721154,3.130386740331492,2.0,Partition(FastLargestClique),0.144109,5,905,HTD,0.095598,17,,,,,,PartitionTreedec,0.245074
,,,,,,,DD_g351,725,297,,ReadEL,0.003703,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.92481250360578,2.759656652360515,2.0,Partition(FastLargestClique),0.034298,5,233,HTD,0.009246,14,,,,,,PartitionTreedec,0.047456
,,,,,,,DD_g352,604,257,,ReadEL,0.007541,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17.92481250360578,3.3317073170731706,3.0,Partition(FastLargestClique),0.034504,5,205,HTD,0.016988,19,,,,,,PartitionTreedec,0.059253
,,,,,,,DD_g353,738,272,,ReadEL,0.009365,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18.094737505048094,3.1187214611872145,2.0,Partition(FastLargestClique),0.035832,5,219,HTD,0.007916,21,,,,,,PartitionTreedec,0.053325
,,,,,,,DD_g354,557,240,,ReadEL,0.022278,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14.339850002884624,3.2263157894736842,3.0,Partition(FastLargestClique),0.030971,4,190,HTD,0.012302,16,,,,,,PartitionTreedec,0.065767
,,,,,,,DD_g355,479,213,,ReadEL,0.006228,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.584962500721156,2.4519774011299433,2.0,Partition(FastLargestClique),0.027003,4,177,HTD,0.007045,8,,,,,,PartitionTreedec,0.040487
,,,,,,,DD_g356,396,175,,ReadEL,0.001465,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.754887502163468,2.625,2.0,Partition(FastLargestClique),0.020609,5,144,HTD,0.00641,10,,,,,,PartitionTreedec,0.028687
,,,,,,,DD_g357,534,213,,ReadEL,0.004413,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.169925001442312,2.782857142857143,2.0,Partition(FastLargestClique),0.026861,5,175,HTD,0.011194,12,,,,,,PartitionTreedec,0.042675
,,,,,,,DD_g358,1750,725,,ReadEL,0.003777,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.169925001442312,2.692047377326565,2.0,Partition(FastLargestClique),0.082076,5,591,HTD,0.309742,11,,,,,,PartitionTreedec,0.395896
,,,,,,,DD_g359,576,208,,ReadEL,0.00604,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13.754887502163468,2.981707317073171,2.0,Partition(FastLargestClique),0.025847,5,164,HTD,0.007208,16,,,,,,PartitionTreedec,0.039309
,,,,,,,DD_g35,801,344,,ReadEL,0.009536,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.169925001442312,3.074468085106383,2.0,Partition(FastLargestClique),0.043181,5,282,HTD,0.010157,17,,,,,,PartitionTreedec,0.0631
,,,,,,,DD_g360,721,306,,ReadEL,0.004734,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12.169925001442312,3.02834008097166,3.0,Partition(FastLargestClique),0.039787,5,247,HTD,0.01061,12,,,,,,PartitionTreedec,0.055352
,,,,,,,DD_g361,289,123,,ReadEL,0.003633,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.584962500721156,2.702970297029703,2.0,Partition(FastLargestClique),0.015099,5,101,HTD,0.00651,7,,,,,,PartitionTreedec,0.025445
,,,,,,,DD_g362,503,192,,ReadEL,0.010839,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.584962500721156,2.7721518987341773,2.0,Partition(FastLargestClique),0.025809,5,158,HTD,0.009216,9,,,,,,PartitionTreedec,0.046078
,,,,,,,DD_g363,1022,414,,ReadEL,0.004526,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.754887502163468,2.9584569732937687,2.0,Partition(FastLargestClique),0.050329,5,337,HTD,0.011921,15,,,,,,PartitionTreedec,0.06705
,,,,,,,DD_g364,930,394,,ReadEL,0.006224,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.339850002884624,3.053291536050157,3.0,Partition(FastLargestClique),0.048186,5,319,HTD,0.150355,13,,,,,,PartitionTreedec,0.205063
,,,,,,,DD_g365,238,99,,ReadEL,0.003545,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.754887502163468,2.6341463414634148,2.0,Partition(FastLargestClique),0.013003,5,82,HTD,0.006784,8,,,,,,PartitionTreedec,0.023541
,,,,,,,DD_g366,766,338,,ReadEL,0.003863,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.92481250360578,3.1448763250883394,3.0,Partition(FastLargestClique),0.044214,5,283,HTD,0.008498,13,,,,,,PartitionTreedec,0.05679
