Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,PartLargestBag.error_status,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,,DD_g1010,362,157,,ReadEL,0.001414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,12.92481250360578,2.9274193548387095,3.0,6587,67.92929292929293,1.0,6725,25,16,0.16161616161616163,0.0,16,1670,16.86868686868687,0.0,1670,22673,231.40404040404042,2.0,22909,7,1.393939393939394,1.0,138,Partition(BranchingPartition),success,1.233482,none,124,HTD,,0.051265,14,,,,,,,none,PartitionTreedec,1.287922
,,,,,,,none,,DD_g1011,135,47,,ReadEL,0.126953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,4.321928094887362,1.837837837837838,2.0,1,0.17857142857142858,0.0,5,9,0,0.0,0.0,0,0,0.0,0.0,0,6,1.3928571428571428,1.0,39,1,0.10714285714285714,0.0,3,Partition(BranchingPartition),success,0.006545,none,37,HTD,,0.051906,5,,,,,,,none,PartitionTreedec,0.187179
,,,,,,,none,,DD_g1012,364,146,,ReadEL,0.000771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,6.584962500721156,2.274336283185841,2.0,27,0.9340659340659341,0.0,85,22,3,0.03296703296703297,0.0,3,6,0.12087912087912088,0.0,11,92,2.758241758241758,1.0,251,3,0.6043956043956044,0.0,55,Partition(BranchingPartition),success,0.167439,none,113,HTD,,0.250046,7,,,,,,,none,PartitionTreedec,0.420026
,,,,,,,none,,DD_g1013,210,93,,ReadEL,0.090776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,6.584962500721156,2.4415584415584415,2.0,3,0.746268656716418,1.0,50,10,2,0.029850746268656716,0.0,2,5,0.07462686567164178,0.0,5,13,1.8805970149253732,2.0,126,3,0.7014925373134329,0.0,47,Partition(BranchingPartition),success,0.020264,none,77,HTD,,0.008196,7,,,,,,,none,PartitionTreedec,0.121003
,,,,,,,none,,DD_g1014,272,119,,ReadEL,0.004907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,6.584962500721156,2.422680412371134,2.0,53,1.2738095238095237,0.0,107,13,0,0.0,0.0,0,4,0.047619047619047616,0.0,4,177,3.738095238095238,1.0,314,3,0.6428571428571429,0.0,54,Partition(BranchingPartition),success,0.024392,none,97,HTD,,0.160061,6,,,,,,,none,PartitionTreedec,0.191073
,,,,,,,none,,DD_g1015,243,102,,ReadEL,0.143159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,7.754887502163468,2.6265060240963853,2.0,107,3.0704225352112675,1.0,218,12,5,0.07042253521126761,0.0,5,50,1.3661971830985915,0.0,97,375,9.535211267605634,2.0,677,3,0.9154929577464789,1.0,65,Partition(BranchingPartition),success,0.033231,none,83,HTD,,0.118983,8,,,,,,,none,PartitionTreedec,0.297155
,,,,,,,none,,DD_g1016,290,113,,ReadEL,0.001411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,9.92481250360578,2.7752808988764044,2.0,409,6.5064935064935066,1.0,501,12,144,1.87012987012987,0.0,144,401,5.207792207792208,0.0,401,1602,22.98701298701299,2.0,1770,5,1.1948051948051948,1.0,92,Partition(BranchingPartition),success,0.468382,none,89,HTD,,0.045862,11,,,,,,,none,PartitionTreedec,0.517373
,,,,,,,none,,DD_g1017,375,162,,ReadEL,0.001705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,4.169925001442312,1.983739837398374,2.0,1,0.30303030303030304,0.0,30,24,0,0.0,0.0,0,1,0.010101010101010102,0.0,1,6,1.3434343434343434,1.0,133,1,0.29292929292929293,0.0,29,Partition(BranchingPartition),success,0.020542,none,123,HTD,,0.029615,5,,,,,,,none,PartitionTreedec,0.053563
,,,,,,,none,,DD_g1018,679,296,,ReadEL,0.001243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,7.169925001442312,2.6254980079681274,2.0,45,1.0881057268722467,1.0,247,24,0,0.0,0.0,0,14,0.09251101321585903,0.0,21,155,2.6211453744493394,2.0,595,4,0.8722466960352423,1.0,198,Partition(BranchingPartition),success,0.06053,none,251,HTD,,0.010822,8,,,,,,,none,PartitionTreedec,0.074404
,,,,,,,none,,DD_g1019,352,131,,ReadEL,0.100759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,5.0,2.02803738317757,2.0,2,0.4166666666666667,0.0,35,23,1,0.011904761904761904,0.0,1,0,0.0,0.0,0,5,1.4523809523809523,1.0,122,2,0.40476190476190477,0.0,34,Partition(BranchingPartition),success,0.018088,none,107,HTD,,0.093638,6,,,,,,,none,PartitionTreedec,0.214203
,,,,,,,none,,DD_g101,727,306,,ReadEL,0.001252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,10.584962500721156,2.8373015873015874,2.0,158421,673.5466101694915,1.0,158957,16,0,0.0,0.0,0,248,1.0847457627118644,0.0,256,521309,2215.6906779661017,2.0,522903,6,0.9745762711864406,1.0,230,Partition(BranchingPartition),success,16.608741,none,252,HTD,,0.009778,11,,,,,,,none,PartitionTreedec,16.621715
,,,,,,,none,,DD_g1020,540,228,,ReadEL,0.025266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,11.169925001442312,2.675531914893617,2.0,105618,637.1987951807229,1.0,105775,22,0,0.0,0.0,0,38,0.2289156626506024,0.0,38,347576,2095.7710843373493,2.0,347898,7,0.9457831325301205,1.0,157,Partition(BranchingPartition),success,15.171295,none,188,HTD,,0.063507,11,,,,,,,none,PartitionTreedec,15.262033
,,,,,,,none,,DD_g1021,786,329,,ReadEL,0.001445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,11.754887502163468,2.821167883211679,2.0,13215,53.888,1.0,13472,24,0,0.0,0.0,0,100,0.4,0.0,100,43555,176.244,2.0,44061,8,1.028,1.0,257,Partition(BranchingPartition),success,1.375423,none,274,HTD,,0.060682,12,,,,,,,none,PartitionTreedec,1.439559
,,,,,,,none,,DD_g1022,729,294,,ReadEL,0.00126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,12.339850002884624,3.0598290598290596,2.0,3815,18.061946902654867,1.0,4082,8,18,0.07964601769911504,0.0,18,288,1.2743362831858407,0.0,288,12761,58.64159292035398,2.0,13253,8,1.1814159292035398,1.0,267,Partition(BranchingPartition),success,0.416072,none,234,HTD,,0.014587,13,,,,,,,none,PartitionTreedec,0.433771
,,,,,,,none,,DD_g1023,424,172,,ReadEL,0.001246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,9.339850002884624,2.963768115942029,3.0,76,1.860655737704918,1.0,227,16,30,0.2459016393442623,0.0,30,167,1.3688524590163935,0.0,167,345,5.057377049180328,2.0,617,5,1.2377049180327868,1.0,151,Partition(BranchingPartition),success,0.125278,none,138,HTD,,0.0369,10,,,,,,,none,PartitionTreedec,0.165164
,,,,,,,none,,DD_g1024,159,59,,ReadEL,0.000853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,5.169925001442312,1.9130434782608696,2.0,4,0.4117647058823529,0.0,14,12,1,0.029411764705882353,0.0,1,1,0.029411764705882353,0.0,1,15,1.7058823529411764,1.0,58,1,0.29411764705882354,0.0,10,Partition(BranchingPartition),success,0.008037,none,46,HTD,,0.164744,5,,,,,,,none,PartitionTreedec,0.175344
,,,,,,,none,,DD_g1025,204,88,,ReadEL,0.000475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,7.169925001442312,2.8472222222222223,2.0,77,2.681159420289855,1.0,185,3,0,0.0,0.0,0,17,0.6666666666666666,0.0,46,262,8.130434782608695,2.0,561,4,0.8695652173913043,1.0,60,Partition(BranchingPartition),success,0.028396,none,72,HTD,,0.131593,7,,,,,,,none,PartitionTreedec,0.16217
,,,,,,,none,,DD_g1026,577,247,,ReadEL,0.026751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,10.169925001442312,2.6532663316582914,2.0,4404,52.73529411764706,1.0,8965,29,0,0.0,0.0,0,26,0.4,0.0,68,14510,172.7058823529412,2.0,29360,5,0.9117647058823529,1.0,155,Partition(BranchingPartition),success,2.121808,none,199,HTD,,0.036838,10,,,,,,,none,PartitionTreedec,2.187199
,,,,,,,none,,DD_g1027,222,108,,ReadEL,0.000467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,6.584962500721156,2.4269662921348316,2.0,3,0.8356164383561644,1.0,61,16,2,0.0273972602739726,0.0,2,6,0.0821917808219178,0.0,6,14,1.9726027397260273,2.0,144,3,0.7945205479452054,1.0,58,Partition(BranchingPartition),success,0.017346,none,89,HTD,,0.021703,7,,,,,,,none,PartitionTreedec,0.041201
,,,,,,,none,,DD_g1028,136,72,,ReadEL,0.000673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,6.754887502163468,2.4754098360655736,2.0,12,1.0,0.5,50,11,6,0.12,0.0,6,14,0.28,0.0,14,50,2.74,1.5,137,3,0.76,0.0,38,Partition(BranchingPartition),success,0.013375,none,61,HTD,,0.00743,7,,,,,,,none,PartitionTreedec,0.023414
,,,,,,,none,,DD_g1029,214,99,,ReadEL,0.002346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,6.169925001442312,2.458823529411765,2.0,5,0.6973684210526315,0.0,53,9,0,0.0,0.0,0,9,0.11842105263157894,0.0,9,20,1.881578947368421,1.0,143,3,0.631578947368421,0.0,48,Partition(BranchingPartition),success,0.018011,none,85,HTD,,0.097268,6,,,,,,,none,PartitionTreedec,0.119407
,,,,,,,none,,DD_g102,1421,561,,ReadEL,0.002166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1.0,-1,nan,nan,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(BranchingPartition),timeout,180.00059,none,463,HTD,,0.015259,23,,,,,,,none,PartitionTreedec,180.020957
,,,,,,,none,,DD_g1030,350,136,,ReadEL,0.000628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,5.0,2.2752293577981653,2.0,4,0.46534653465346537,0.0,47,8,0,0.0,0.0,0,1,0.009900990099009901,0.0,1,14,1.5742574257425743,1.0,159,2,0.4158415841584158,0.0,42,Partition(BranchingPartition),success,0.022328,none,109,HTD,,0.018546,5,,,,,,,none,PartitionTreedec,0.043273
,,,,,,,none,,DD_g1031,148,64,,ReadEL,0.024997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,4.169925001442312,1.9607843137254901,2.0,2,0.2558139534883721,0.0,11,8,1,0.023255813953488372,0.0,1,1,0.023255813953488372,0.0,1,8,1.441860465116279,1.0,62,1,0.18604651162790697,0.0,8,Partition(BranchingPartition),success,0.009275,none,51,HTD,,0.32945,5,,,,,,,none,PartitionTreedec,0.365487
,,,,,,,none,,DD_g1032,386,159,,ReadEL,0.003423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,8.584962500721156,2.696969696969697,2.0,28,1.2478632478632479,1.0,146,15,12,0.1282051282051282,0.0,15,19,0.3504273504273504,0.0,41,99,3.3162393162393164,2.0,388,4,0.8717948717948718,1.0,102,Partition(BranchingPartition),success,0.033404,none,132,HTD,,0.02784,9,,,,,,,none,PartitionTreedec,0.066459
,,,,,,,none,,DD_g1033,1286,573,,ReadEL,0.001901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1.0,-1,nan,nan,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(BranchingPartition),timeout,180.000556,none,476,HTD,,0.014567,17,,,,,,,none,PartitionTreedec,180.021179
,,,,,,,none,,DD_g1034,513,183,,ReadEL,0.00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,8,10.169925001442312,2.802919708029197,2.0,218,3.0,1.0,354,19,5,0.0423728813559322,0.0,5,45,0.3813559322033898,0.0,45,748,8.483050847457626,2.0,1001,6,1.152542372881356,1.0,136,Partition(BranchingPartition),success,0.050754,none,137,HTD,,0.008923,11,,,,,,,none,PartitionTreedec,0.062248
,,,,,,,none,,DD_g1035,121,56,,ReadEL,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,5.754887502163468,2.276595744680851,2.0,8,0.5777777777777777,0.0,26,2,2,0.044444444444444446,0.0,2,9,0.2,0.0,9,32,2.088888888888889,1.0,94,2,0.4,0.0,18,Partition(BranchingPartition),success,0.021885,none,47,HTD,,0.005191,6,,,,,,,none,PartitionTreedec,0.029129
,,,,,,,none,,DD_g1036,509,174,,ReadEL,0.000837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,9.92481250360578,2.742857142857143,3.0,371,3.7238805970149254,1.0,499,6,43,0.3208955223880597,0.0,43,266,1.9850746268656716,0.0,266,1352,12.037313432835822,2.0,1613,5,0.9552238805970149,1.0,128,Partition(BranchingPartition),success,0.118015,none,140,HTD,,0.012109,11,,,,,,,none,PartitionTreedec,0.132834
,,,,,,,none,,DD_g1037,170,65,,ReadEL,0.000742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,7.339850002884624,2.811320754716981,3.0,17,1.469387755102041,1.0,72,4,10,0.20408163265306123,0.0,10,9,0.4489795918367347,0.0,22,68,4.081632653061225,2.0,200,3,0.9183673469387755,1.0,45,Partition(BranchingPartition),success,0.01601,none,53,HTD,,0.050969,8,,,,,,,none,PartitionTreedec,0.069452
,,,,,,,none,,DD_g1038,662,286,,ReadEL,0.001609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1.0,-1,nan,nan,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(BranchingPartition),timeout,180.000559,none,236,HTD,,0.011064,13,,,,,,,none,PartitionTreedec,180.015883
,,,,,,,none,,DD_g1039,142,64,,ReadEL,0.000734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,6.584962500721156,2.6346153846153846,2.5,53,1.9361702127659575,1.0,91,5,0,0.0,0.0,0,4,0.1702127659574468,0.0,8,177,5.872340425531915,2.0,276,2,0.6808510638297872,1.0,32,Partition(BranchingPartition),success,0.016292,none,52,HTD,,0.006889,6,,,,,,,none,PartitionTreedec,0.025579
,,,,,,,none,,DD_g103,646,265,,ReadEL,0.008069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,12,14.92481250360578,3.2816901408450705,3.0,264347,1364.180412371134,1.0,264651,19,0,0.0,0.0,0,2364,12.185567010309278,0.0,2364,871511,4494.886597938144,2.0,872008,10,1.5670103092783505,1.0,304,Partition(BranchingPartition),success,29.97136,none,213,HTD,,0.041162,16,,,,,,,none,PartitionTreedec,30.022467
,,,,,,,none,,DD_g1040,228,104,,ReadEL,0.000496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,6.584962500721156,2.1707317073170733,2.0,4,0.5072463768115942,0.0,35,13,5,0.07246376811594203,0.0,5,7,0.15942028985507245,0.0,11,19,1.7971014492753623,1.0,124,2,0.42028985507246375,0.0,29,Partition(BranchingPartition),success,0.020444,none,82,HTD,,0.025239,7,,,,,,,none,PartitionTreedec,0.047914
,,,,,,,none,,DD_g1041,194,70,,ReadEL,0.001473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,7.92481250360578,2.888888888888889,3.0,142,4.04,1.0,202,4,70,1.4,0.0,70,37,0.74,0.0,37,531,12.8,2.0,640,3,1.2,1.0,60,Partition(BranchingPartition),success,0.027753,none,54,HTD,,0.017687,9,,,,,,,none,PartitionTreedec,0.048553
,,,,,,,none,,DD_g1042,465,201,,ReadEL,0.001965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,10.169925001442312,2.8633540372670807,2.0,2203,24.773972602739725,1.0,3617,15,1,0.00684931506849315,0.0,1,50,0.4863013698630137,0.0,71,7264,80.5,2.0,11753,6,1.0136986301369864,1.0,148,Partition(BranchingPartition),success,0.352615,none,161,HTD,,0.008508,10,,,,,,,none,PartitionTreedec,0.364847
,,,,,,,none,,DD_g1043,489,190,,ReadEL,0.001819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,12.339850002884624,3.2119205298013247,3.0,7605,59.67164179104478,1.0,7996,17,12,0.16417910447761194,0.0,22,401,3.2611940298507465,0.0,437,25298,196.0820895522388,2.0,26275,8,1.5298507462686568,1.0,205,Partition(BranchingPartition),success,1.317642,none,151,HTD,,0.029193,13,,,,,,,none,PartitionTreedec,1.350616
,,,,,,,none,,DD_g1044,282,99,,ReadEL,0.047674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,7.339850002884624,2.436619718309859,2.0,45,1.9047619047619047,1.0,120,8,12,0.19047619047619047,0.0,12,6,0.15873015873015872,0.0,10,173,6.222222222222222,2.0,392,2,0.6507936507936508,1.0,41,Partition(BranchingPartition),success,0.023604,none,71,HTD,,0.122766,8,,,,,,,none,PartitionTreedec,0.195835
,,,,,,,none,,DD_g1045,174,72,,ReadEL,0.002548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,7.339850002884624,2.542372881355932,3.0,31,1.42,1.0,71,9,0,0.0,0.0,0,2,0.04,0.0,2,107,3.92,2.0,196,2,0.8,1.0,40,Partition(BranchingPartition),success,0.015107,none,59,HTD,,0.08681,8,,,,,,,none,PartitionTreedec,0.106303
,,,,,,,none,,DD_g1046,1645,707,,ReadEL,0.002424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1.0,-1,nan,nan,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(BranchingPartition),timeout,180.000637,none,575,HTD,,0.018405,28,,,,,,,none,PartitionTreedec,180.024037
,,,,,,,none,,DD_g1047,455,175,,ReadEL,0.002189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,14.679700005769249,2.823529411764706,2.0,505110,4551.873873873874,1.0,505258,25,104112,937.9459459459459,0.0,104112,368238,3317.4594594594596,0.0,368238,1884660,16981.243243243243,2.0,1884918,8,1.3333333333333333,1.0,148,Partition(BranchingPartition),success,65.9682,none,136,HTD,,0.014967,17,,,,,,,none,PartitionTreedec,65.98717
,,,,,,,none,,DD_g1048,158,66,,ReadEL,0.000362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,6.584962500721156,2.25,2.0,13,1.0769230769230769,1.0,42,13,0,0.0,0.0,0,7,0.1794871794871795,0.0,7,44,2.8461538461538463,2.0,111,2,0.7435897435897436,1.0,29,Partition(BranchingPartition),success,0.016978,none,52,HTD,,0.134709,7,,,,,,,none,PartitionTreedec,0.153821
,,,,,,,none,,DD_g1049,471,150,,ReadEL,0.001999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,10.584962500721156,2.8839285714285716,2.5,2202,21.69158878504673,1.0,2321,5,2,0.018691588785046728,0.0,2,12,0.11214953271028037,0.0,12,7256,69.91588785046729,2.0,7481,7,1.1121495327102804,1.0,119,Partition(BranchingPartition),success,0.239152,none,112,HTD,,0.060124,11,,,,,,,none,PartitionTreedec,0.303244
,,,,,,,none,,DD_g104,998,372,,ReadEL,0.001565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1.0,-1,nan,nan,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(BranchingPartition),timeout,180.000639,none,302,HTD,,0.019859,20,,,,,,,none,PartitionTreedec,180.029542
,,,,,,,none,,DD_g1050,409,195,,ReadEL,0.000767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,12.92481250360578,2.920245398773006,2.0,19533,148.21804511278197,1.0,19713,30,0,0.0,0.0,0,3701,27.827067669172934,0.0,3701,66434,501.8496240601504,2.0,66746,7,1.3533834586466165,1.0,180,Partition(BranchingPartition),success,3.157597,none,163,HTD,,0.010892,14,,,,,,,none,PartitionTreedec,3.171088
,,,,,,,none,,DD_g1051,349,148,,ReadEL,0.001016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,13.509775004326936,3.3,3.0,1260,12.846846846846846,1.0,1426,9,186,1.6756756756756757,0.0,186,1134,10.216216216216216,0.0,1134,4740,45.189189189189186,2.0,5016,7,1.4954954954954955,1.0,166,Partition(BranchingPartition),success,0.172378,none,120,HTD,,0.208639,16,,,,,,,none,PartitionTreedec,0.383848
,,,,,,,none,,DD_g1052,711,227,,ReadEL,0.001248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,10.169925001442312,2.9710982658959537,3.0,104,1.822085889570552,1.0,297,10,57,0.3496932515337423,0.0,57,120,0.7361963190184049,0.0,120,419,4.748466257668712,2.0,774,5,1.1840490797546013,1.0,193,Partition(BranchingPartition),success,0.056661,none,173,HTD,,0.0131,12,,,,,,,none,PartitionTreedec,0.072929
,,,,,,,none,,DD_g1053,325,137,,ReadEL,0.00151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10,13.509775004326936,3.4485981308411215,3.0,78179,816.125,1.0,78348,11,1440,15.0,0.0,1440,46289,482.1770833333333,0.0,46289,281428,2934.2916666666665,2.0,281692,8,1.7604166666666667,1.0,169,Partition(BranchingPartition),success,12.300645,none,107,HTD,,0.073632,15,,,,,,,none,PartitionTreedec,12.377632
