n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
366281,374148,seed=374248 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.77465865500684,366281,42,14640,149116,149116,2.4563494192440785,13,2.0,1,251,211.821741,0.864712,24.860687,186.096342
365394,374148,seed=374249 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.708029442409169,365394,44,8876,148765,148765,2.456182569824892,12,2,1,282,211.132442,0.786081,24.531025,185.815336
370734,374148,seed=374250 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.980683243271637,370734,40,121936,152303,152303,2.4341871138454265,12,2,1,282,297.970693,0.903229,25.460986,271.606478
364972,374148,seed=374251 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.33071162812603,364972,37,7465,148631,148631,2.4555577234897163,13,2,1,246,211.540931,0.880188,24.89849,185.762253
366085,374148,seed=374252 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.902826617990497,366085,41,14107,149012,149012,2.456748449789279,13,2.0,1,306,210.960843,0.848238,24.332149,185.780456
366291,374148,seed=374253 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.044627722652875,366291,46,11716,149257,149257,2.454095955298579,12,2,1,268,211.633799,0.885559,24.736841,186.011399
365339,374148,seed=374254 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.530113349702331,365339,45,5280,148655,148655,2.4576300830782687,13,2,1,253,211.47216,0.876593,24.685162,185.910405
367570,374148,seed=374255 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.15151838323513,367570,36,72746,150028,150028,2.450009331591436,14,2.0,1,270,211.877158,0.919586,24.942178,186.015394
365901,374148,seed=374256 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.818721601951507,365901,41,14930,149218,149218,2.4521237384229786,13,2.0,1,252,217.914268,0.833781,24.590602,192.489885
369446,374148,seed=374257 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,10.293112109994711,369446,40,98949,151280,151280,2.4421337916446326,12,2.0,1,272,276.131314,0.990044,25.226121,249.915149
