n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
816713,822004,seed=822104 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.27933497412449,816713,13,5008,257193,257193,3.1754868911673335,17,3,1,99,285.684226,1.702948,93.198349,190.782929
816792,822004,seed=822105 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.194019428323143,816792,14,4295,257768,257768,3.1687098476149096,15,3.0,1,81,286.370386,1.826576,93.055789,191.488021
817103,822004,seed=822106 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.301412653270549,817103,14,4015,257388,257388,3.1745963292772004,16,3.0,1,97,284.475299,1.768741,91.252913,191.453645
816618,822004,seed=822107 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.1936764117096,816618,13,9235,257259,257259,3.1743029398388396,17,3,1,71,285.398505,1.683657,92.050164,191.664684
817283,822004,seed=822108 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.338737254414325,817283,13,2196,257344,257344,3.1758385662770454,20,3.0,1,122,284.050238,1.680509,91.323838,191.045891
816723,822004,seed=822109 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.202117783241856,816723,14,1606,257439,257439,3.1724913474648364,16,3,1,82,286.876475,1.911761,92.430083,192.534631
817382,822004,seed=822110 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.35075250348759,817382,13,5889,257341,257341,3.1762602927632986,18,3,1,88,287.703796,1.748747,94.904546,191.050503
817034,822004,seed=822111 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.181067638354715,817034,13,2242,257147,257147,3.1773032545586766,16,3,1,91,287.255107,1.763381,92.521444,192.970282
817402,822004,seed=822112 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.31116430092677,817402,14,10263,257777,257777,3.1709656020513854,17,3,1,106,289.173684,2.112465,95.593974,191.467245
817326,822004,seed=822113 alpha=0.95 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.3140125879936475,817326,14,6482,257547,257547,3.173502312199327,15,3,1,98,286.026956,1.82323,92.842164,191.361562
