n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
317781,486393,seed=486493 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.70236811128467,317781,83,39688,223427,223427,1.4223034816741038,7,1,1,472,219.71723,0.817593,32.369446,186.530191
345751,486393,seed=486494 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.060190287045223,345751,86,73497,247731,247731,1.3956711110034674,6,1,1,537,226.730357,0.909706,38.619455,187.201196
328961,486393,seed=486495 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.126050204039642,328961,99,18882,233288,233288,1.4101068207537464,6,1.0,1,556,222.628965,0.847182,34.843826,186.937957
333485,486393,seed=486496 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.978021327515201,333485,88,52270,236502,236502,1.4100726420918217,7,1.0,1,577,223.342429,0.892049,35.611715,186.838665
339871,486393,seed=486497 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.136937880743897,339871,95,95258,242453,242453,1.4018015862868267,6,1,1,644,224.969839,0.894165,37.268977,186.806697
331648,486393,seed=486498 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.116189520927544,331648,93,53696,235288,235288,1.4095406480568495,6,1.0,1,613,223.134695,0.868916,35.317802,186.947977
333935,486393,seed=486499 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.213109232375627,333935,96,52151,237512,237512,1.4059710667250498,7,1.0,1,629,224.008783,0.87783,35.984332,187.146621
362212,486393,seed=486500 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.593679630548452,362212,92,78144,262010,262010,1.3824357848937063,6,1.0,1,574,231.548513,1.046373,42.67684,187.8253
335274,486393,seed=486501 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.36529352782987,335274,101,31970,238359,238359,1.4065925767434835,7,1,1,640,223.962217,0.862556,36.077165,187.022496
387696,486393,seed=486502 alpha=0.55 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.418358086098819,387696,97,205992,284278,284278,1.3637917812845173,7,1.0,1,582,238.657263,1.079653,49.223681,188.353929
