n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
166754,170300,seed=170400 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.957955312839484,166754,37,12838,68118,68118,2.448016676942952,14,2.0,1,222,188.390166,0.328659,5.592748,182.468759
167751,170300,seed=170401 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.666909706019599,167751,31,25990,68576,68576,2.4462056696220253,13,2.0,1,175,188.564276,0.360224,5.656756,182.547296
166323,170300,seed=170402 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.236630621048278,166323,32,3223,67692,67692,2.457055486615848,12,2.0,1,196,95.547282,0.331438,5.822458,89.393386
166475,170300,seed=170403 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.678724528745082,166475,35,9514,68116,68116,2.443992600857361,14,2.0,1,202,188.323316,0.326004,5.561509,182.435803
166595,170300,seed=170404 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.897708529688973,166595,38,6707,67904,67904,2.453390080113101,12,2.0,1,208,188.35663,0.345413,5.550442,182.460775
166399,170300,seed=170405 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.75940358203688,166399,36,17249,68006,68006,2.44682822103932,13,2.0,1,202,192.905812,0.319884,5.543026,187.042902
166544,170300,seed=170406 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.356388696638149,166544,34,3684,67909,67909,2.4524584370260203,12,2,1,203,149.557328,0.323299,5.556262,143.677767
165879,170300,seed=170407 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.445110782865584,165879,32,5052,67700,67700,2.4502067946824226,14,2.0,1,215,161.076586,0.3424,5.525314,155.208872
167092,170300,seed=170408 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.216202754175212,167092,37,11196,68260,68260,2.447875769118078,11,2.0,1,225,188.623111,0.341846,5.683184,182.598081
166487,170300,seed=170409 alpha=0.75 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.661503967902764,166487,34,6445,67794,67794,2.4557777974452017,11,2.0,1,202,188.194205,0.337391,5.524727,182.332087
