n,orig_n,girg_options,spec,contraction:avg_deg,contraction:in_n,contraction:largest_clique,contraction:max_deg,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,weighted_treewidth:treewidth,time_total,time_partition,time_contraction,time_weighted_treewidth
75038,77515,seed=77615 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.372969053818014,75038,23,1690,30343,30343,2.4729921233892496,12,2,1,121,21.420577,0.200827,0.119589,21.100161
76525,77515,seed=77616 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,10.24939219449776,76525,35,19217,31260,31260,2.4480166346769034,11,2.0,1,152,152.48866,0.212193,0.150002,152.126465
75346,77515,seed=77617 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.666470588235294,75346,24,2828,30600,30600,2.4622875816993464,12,2.0,1,120,27.075164,0.200371,0.116968,26.757825
75930,77515,seed=77618 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,9.074416786133193,75930,30,13438,30692,30692,2.4739345757852207,13,2.0,1,112,113.26447,0.198605,0.132843,112.933022
75751,77515,seed=77619 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.473685923515053,75751,29,4606,30725,30725,2.4654515866558175,11,2,1,132,54.406584,0.19837,0.123764,54.08445
75488,77515,seed=77620 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.600828413946056,75488,32,8866,30661,30661,2.4620201558983723,12,2,1,135,58.392805,0.200043,0.123403,58.069359
75494,77515,seed=77621 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.374828554633924,75494,30,5100,30622,30622,2.4653517079224088,11,2.0,1,120,53.16176,0.200891,0.120915,52.839954
75189,77515,seed=77622 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.727723754713237,75189,26,2168,30234,30234,2.4869021631276045,11,2.0,1,122,28.183684,0.195166,0.117227,27.871291
76850,77515,seed=77623 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.909108310735364,76850,23,28014,31345,31345,2.451746690062211,13,2,1,108,181.184487,0.209212,0.129024,180.846251
75545,77515,seed=77624 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.282155782335105,75545,31,4510,30671,30671,2.463075869714062,13,2,1,151,43.011141,0.221078,0.12038,42.669683
