n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
129145,131000,seed=131100 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.5728118425388455,129145,12,757,39451,39451,3.2735545360066918,14,3,1,62,24.120704,0.200098,2.658065,21.262541
129108,131000,seed=131101 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.424560602602146,129108,12,768,39429,39429,3.274442669101423,17,3,1,46,25.974963,0.185422,2.61968,23.169861
129446,131000,seed=131102 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.423215228707219,129446,13,468,39767,39767,3.2551110217014108,14,3,1,53,25.526271,0.200305,2.681767,22.644199
129269,131000,seed=131103 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.463696202531645,129269,11,751,39500,39500,3.272632911392405,15,3.0,1,45,27.120625,0.193325,2.677806,24.249494
129744,131000,seed=131104 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.128085256120244,129744,19,3194,39786,39786,3.2610465993062885,14,3.0,1,70,49.164744,0.204647,2.653287,46.30681
129046,131000,seed=131105 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.576660317460317,129046,17,755,39375,39375,3.2773587301587304,15,3,1,66,24.361603,0.200503,2.614504,21.546596
129348,131000,seed=131106 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.578939409214638,129348,17,1325,39676,39676,3.2601068656114527,15,3.0,1,73,29.915712,0.210623,2.673111,27.031978
129604,131000,seed=131107 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.617023962831099,129604,12,1665,39603,39603,3.2725803600737318,15,3,1,56,31.140002,0.201086,2.661077,28.277839
129624,131000,seed=131108 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.864508000503969,129624,14,2603,39685,39685,3.266322288018143,14,3,1,78,40.778696,0.198822,2.646428,37.933446
129130,131000,seed=131109 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.658394530260826,129130,14,1903,39490,39490,3.2699417574069383,16,3.0,1,55,33.417883,0.201237,2.654642,30.562004
