n,orig_n,girg_options,spec,contraction:avg_deg,contraction:in_n,contraction:largest_clique,contraction:max_deg,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,weighted_treewidth:treewidth,time_total,time_partition,time_contraction,time_weighted_treewidth
44991,77515,seed=77615 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,5.5254862616913165,44991,46,3699,30899,30899,1.4560665393702061,5,1,1,136,12.433321,0.17411,0.074507,12.184704
68413,77515,seed=77616 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.176527793986073,68413,60,42499,51414,51414,1.330629789551484,5,1.0,1,176,60.255955,0.284339,0.145614,59.826002
47145,77515,seed=77617 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,5.684525993883792,47145,48,6683,32700,32700,1.441743119266055,5,1.0,1,145,14.985736,0.181932,0.080434,14.72337
62968,77515,seed=77618 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,6.617380249520567,62968,50,33155,46409,46409,1.3568057919800038,6,1,1,138,49.333436,0.257422,0.126412,48.949602
53991,77515,seed=77619 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,6.649215747377168,53991,56,11670,38508,38508,1.4020722966656278,6,1.0,1,161,33.73754,0.210065,0.10203,33.425445
55235,77515,seed=77620 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,6.588009592326139,55235,60,23031,39615,39615,1.3942950902435947,5,1,1,156,41.771768,0.224268,0.103234,41.444266
54459,77515,seed=77621 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,6.4211391299881875,54459,52,13396,38942,38942,1.3984643829284578,6,1.0,1,155,30.603616,0.233117,0.105224,30.265275
47654,77515,seed=77622 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,5.80167985981026,47654,55,4939,33098,33098,1.4397848812617076,6,1.0,1,155,15.656545,0.179683,0.080833,15.396029
72478,77515,seed=77623 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,5.0439256892162705,72478,48,54158,55389,55389,1.3085269638375852,6,1,1,149,38.914814,0.319944,0.134589,38.460281
51217,77515,seed=77624 alpha=0.55 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,6.398871743819479,51217,63,11392,36162,36162,1.4163209999446933,6,1.0,1,184,24.099919,0.195318,0.090925,23.813676
