n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
811007,822004,seed=822104 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.635641600412844,811007,14,4786,248036,248036,3.2697148800980504,17,3.0,1,71,282.053352,1.666116,89.758044,190.629192
810272,822004,seed=822105 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.542868772190005,810272,14,4079,248141,248141,3.265369286010776,17,3,1,57,279.995764,1.677377,88.487019,189.831368
812066,822004,seed=822106 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.654006450911463,812066,16,3807,248337,248337,3.2700161474125884,16,3,1,66,279.085897,1.636936,87.407076,190.041885
811365,822004,seed=822107 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.558977146884124,811365,15,8714,248325,248325,3.267351253397765,17,3,1,59,282.115118,1.695931,88.922042,191.497145
812812,822004,seed=822108 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.691555476892505,812812,16,2082,248599,248599,3.2695706740574177,18,3,1,80,282.535186,1.661249,88.504833,192.369104
810529,822004,seed=822109 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.550132703027566,810529,16,1476,247922,247922,3.2692903413170273,16,3.0,1,62,277.907615,1.618784,86.57965,189.709181
811406,822004,seed=822110 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.708226552552262,811406,14,5435,248172,248172,3.2695308092774367,16,3.0,1,68,281.176814,1.74107,88.74596,190.689784
809664,822004,seed=822111 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.538723665404275,809664,14,2097,247678,247678,3.2690186451763985,16,3.0,1,70,279.700702,1.715203,87.98932,189.996179
811264,822004,seed=822112 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.662913526194854,811264,15,9614,248503,248503,3.2646044514553143,16,3,1,73,286.616261,1.63486,95.286093,189.695308
812101,822004,seed=822113 alpha=0.95 t=0.1 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.650898047024277,812101,15,6121,248595,248595,3.2667632092359056,16,3,1,71,278.406052,1.840437,87.178637,189.386978
