n,orig_n,girg_options,spec,contraction:avg_deg,contraction:in_n,contraction:largest_clique,contraction:max_deg,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,weighted_treewidth:treewidth,time_total,time_partition,time_contraction,time_weighted_treewidth
98286,100769,seed=100869 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.575392921113044,98286,31,4154,39639,39639,2.4795277378339513,12,2,1,175,69.622013,0.266394,0.171704,69.183915
98093,100769,seed=100870 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.466727117021813,98093,33,8780,39702,39702,2.4707319530502243,14,2.0,1,156,94.039127,0.260601,0.167636,93.61089
97966,100769,seed=100871 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.350677876240248,97966,36,3818,39609,39609,2.473326769168623,12,2,1,171,62.304705,0.26336,0.173512,61.867833
98853,100769,seed=100872 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,9.081234303901335,98853,33,14929,40217,40217,2.457990402068777,13,2,1,149,163.554095,0.259175,0.178167,163.116753
97936,100769,seed=100873 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.911891823581448,97936,26,6004,39565,39565,2.4753190951598634,12,2,1,133,73.279756,0.272305,0.162238,72.845213
97655,100769,seed=100874 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.903518957944161,97655,28,3210,39614,39614,2.4651638309688493,12,2.0,1,130,51.179555,0.265737,0.182124,50.731694
97961,100769,seed=100875 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.00287269428485,97961,29,4827,39684,39684,2.468526358230017,11,2.0,1,142,59.040119,0.273602,0.177329,58.589188
97989,100769,seed=100876 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.158143510836224,97989,32,5349,39774,39774,2.4636445919444863,11,2.0,1,140,66.304814,0.257819,0.163175,65.88382
97875,100769,seed=100877 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.851114488348531,97875,28,4848,39480,39480,2.4791033434650456,13,2.0,1,128,59.633673,0.264116,0.175599,59.193958
97848,100769,seed=100878 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.933774834437086,97848,26,2118,39562,39562,2.4732824427480917,11,2.0,1,126,41.121976,0.26671,0.177968,40.677298
