n,orig_n,girg_options,spec,contraction:avg_deg,contraction:in_n,contraction:largest_clique,contraction:max_deg,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,weighted_treewidth:treewidth,time_total,time_partition,time_contraction,time_weighted_treewidth
76087,77515,seed=77615 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.146574340888564,76087,12,459,23251,23251,3.272418390606856,14,3,1,46,9.459894,0.162491,0.103108,9.194295
76866,77515,seed=77616 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,7.365380524950015,76866,16,5152,23507,23507,3.2699195984174927,14,3,1,73,46.765149,0.170377,0.112288,46.482484
76324,77515,seed=77617 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.343442098528471,76324,12,744,23445,23445,3.255448923011303,14,3,1,44,11.667606,0.161966,0.105611,11.400029
76669,77515,seed=77618 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.8764572746295425,76669,13,3336,23417,23417,3.274074390400137,15,3,1,51,28.42254,0.161698,0.104885,28.155957
76285,77515,seed=77619 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.690425258834603,76285,14,1112,23374,23374,3.2636690339693675,15,3.0,1,53,16.417204,0.162692,0.105788,16.148724
76652,77515,seed=77620 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.6443667973410605,76652,14,2133,23468,23468,3.2662348730185786,15,3.0,1,55,18.562179,0.165846,0.108629,18.287704
76615,77515,seed=77621 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.588275362935843,76615,13,1277,23489,23489,3.261739537655924,14,3,1,50,15.756718,0.167528,0.10298,15.48621
76606,77515,seed=77622 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.324391391776836,76606,11,600,23373,23373,3.277542463526291,15,3,1,47,12.296315,0.187261,0.12665,11.982404
76891,77515,seed=77623 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,7.198193977083955,76891,12,12137,23477,23477,3.275162925416365,15,3,1,42,123.546458,0.263689,0.18322,123.099549
76282,77515,seed=77624 alpha=0.95 t=0.1 coords=True,partition:max_radius weighted_treewidth:htd,6.557201575612263,76282,13,1112,23356,23356,3.266055831477993,15,3.0,1,51,12.252685,0.170476,0.106197,11.976012
