n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
472730,486393,seed=486493 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.029967719826931,472730,41,10532,191139,191139,2.473226290814538,14,2,1,213,228.467683,1.09078,39.926828,187.450075
474076,486393,seed=486494 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.443020580672698,474076,43,18567,192122,192122,2.467577893213687,13,2.0,1,253,229.306315,1.147232,40.646759,187.512324
474474,486393,seed=486495 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.446563418611657,474474,49,5619,192546,192546,2.4642111495434857,14,2.0,1,287,228.933462,1.100303,40.097889,187.73527
473999,486393,seed=486496 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.290675435533714,473999,39,13469,191891,191891,2.47014711476828,13,2,1,240,229.192084,1.086513,40.571306,187.534265
473480,486393,seed=486497 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.470073343001117,473480,41,23842,191702,191702,2.469875118673775,12,2.0,1,273,228.853445,1.135315,40.057097,187.661033
473718,486393,seed=486498 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.427881534734704,473718,47,13842,191955,191955,2.4678596546065483,13,2,1,258,229.137517,1.144687,40.314139,187.678691
474360,486393,seed=486499 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.503108625135157,474360,46,12958,192368,192368,2.4658986941695082,13,2.0,1,241,229.939926,1.219607,41.01448,187.705839
474780,486393,seed=486500 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.738341645885287,474780,46,19600,192480,192480,2.466645885286783,14,2.0,1,256,229.812244,1.179599,40.75713,187.875515
473990,486393,seed=486501 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.560524876981958,473990,50,8767,192045,192045,2.4681194511702986,12,2,1,281,229.645592,1.107041,40.510673,188.027878
476417,486393,seed=486502 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.995519032483138,476417,54,59628,193485,193485,2.462294234695196,13,2,1,286,230.307385,1.160029,41.133967,188.013389
