n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
127544,131000,seed=131100 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.278342303133925,127544,38,3050,51469,51469,2.478074180574715,12,2,1,161,75.74142,0.258491,3.387564,72.095365
127087,131000,seed=131101 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.957621672152219,127087,32,2998,51347,51347,2.4750618341870023,12,2,1,162,66.243266,0.227074,3.344404,62.671788
127211,131000,seed=131102 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.894389182468138,127211,28,1736,51472,51472,2.4714602113770594,12,2.0,1,158,54.160418,0.228585,3.372815,50.559018
127465,131000,seed=131103 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,7.994648154970817,127465,32,2916,51571,51571,2.4716410385681877,12,2,1,165,67.667261,0.225866,3.526297,63.915098
128891,131000,seed=131104 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.9198766160818,128891,41,14887,52519,52519,2.4541784877853727,13,2,1,179,185.566495,0.243491,3.463884,181.85912
127139,131000,seed=131105 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.34283379700784,127139,42,2936,51401,51401,2.473473278729986,12,2,1,192,76.099353,0.228896,3.387574,72.482883
127710,131000,seed=131106 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.444620283701632,127710,39,5712,51815,51815,2.4647302904564317,13,2,1,178,97.720715,0.236503,3.383735,94.100477
127961,131000,seed=131107 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.45133186847076,127961,34,7391,51882,51882,2.4663852588566364,11,2.0,1,179,104.11364,0.243026,3.427726,100.442888
128306,131000,seed=131108 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.217354627197608,128306,50,12221,52159,52159,2.459901455165935,11,2,1,206,185.280896,0.231427,3.392296,181.657173
127647,131000,seed=131109 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.748420259328682,127647,35,8728,51749,51749,2.466656360509382,12,2,1,152,128.639001,0.246609,3.400562,124.99183
