n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
282562,287807,seed=287907 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.75269404833063,282562,29,7496,117110,117110,2.4127913927077107,13,2.0,1,310,200.47318,0.642085,15.130537,184.700558
282403,287807,seed=287908 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.791112857484539,282403,32,3365,117068,117068,2.4122988348652066,13,2.0,1,313,200.549124,0.629004,15.071914,184.848206
282253,287807,seed=287909 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.871746575342465,282253,30,6691,116800,116800,2.4165496575342464,13,2.0,1,310,200.674158,0.622182,15.224499,184.827477
282870,287807,seed=287910 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.20775093127371,282870,35,8120,117044,117044,2.416783431871775,14,2.0,1,351,200.749456,0.65304,15.245331,184.851085
282591,287807,seed=287911 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.025192872260531,282591,34,14583,117176,117176,2.4116798661842016,13,2.0,1,303,200.970267,0.639263,15.298798,185.032206
282435,287807,seed=287912 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.753195488721804,282435,33,7674,117040,117040,2.4131493506493507,13,2.0,1,295,200.615392,0.609814,15.284412,184.721166
282857,287807,seed=287913 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.217391304347826,282857,31,15210,117116,117116,2.415186652549609,13,2.0,1,280,200.494777,0.653194,15.259641,184.581942
283144,287807,seed=287914 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.432529904765152,283144,33,13142,117289,117289,2.4140712257756483,12,2,1,349,200.913242,0.646272,15.320554,184.946416
282576,287807,seed=287915 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.784017518797636,282576,27,9538,116903,116903,2.417183476899652,12,2,1,281,200.683614,0.594319,15.184217,184.905078
282488,287807,seed=287916 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.024435593234795,282488,36,11590,117247,117247,2.409340963947905,12,2,1,288,200.736813,0.636721,15.360131,184.739961
