n,orig_n,girg_options,spec,contraction:avg_deg,contraction:in_n,contraction:largest_clique,contraction:max_deg,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,weighted_treewidth:treewidth,time_total,time_partition,time_contraction,time_weighted_treewidth
34504,35282,seed=35382 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.461964235026965,34504,32,1230,14092,14092,2.448481407891002,11,2.0,1,142,12.264154,0.088657,0.050632,12.124865
34292,35282,seed=35383 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.92207979259686,34292,26,2259,13886,13886,2.4695376638340774,11,2.0,1,111,14.259033,0.09053,0.052316,14.116187
34389,35282,seed=35384 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.882854481622125,34389,29,2521,13957,13957,2.463924912230422,11,2,1,132,16.262961,0.093649,0.052719,16.116593
34932,35282,seed=35385 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,9.907234580029472,34932,26,10299,14251,14251,2.4511964072696655,11,2,1,120,35.787715,0.099595,0.056159,35.631961
34308,35282,seed=35386 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.106842823292885,34308,24,3418,13927,13927,2.4634163854383573,12,2,1,87,15.095665,0.088524,0.050339,14.956802
34309,35282,seed=35387 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.64509424496524,34309,22,1272,13953,13953,2.4588977280871496,12,2,1,95,9.48742,0.115762,0.050775,9.320883
34349,35282,seed=35388 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,8.25310066339775,34349,30,2114,13868,13868,2.476853187193539,11,2.0,1,113,11.304015,0.091017,0.052928,11.16007
34267,35282,seed=35389 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.771449222985183,34267,22,2469,13835,13835,2.4768341163715215,11,2,1,93,10.165369,0.08718,0.048449,10.02974
34122,35282,seed=35390 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.462712603576101,34122,18,1910,13758,13758,2.48015699956389,12,2.0,1,89,8.8246,0.094968,0.050124,8.679508
34284,35282,seed=35391 alpha=0.75 t=0.0 coords=True,partition:max_radius weighted_treewidth:htd,7.941343012704174,34284,31,1351,13775,13775,2.4888566243194195,10,2,1,122,10.307973,0.085279,0.048185,10.174509
