n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
802121,822004,seed=822104 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.706823158878965,802121,62,29397,325128,325128,2.467092960311016,14,2.0,1,357,320.370565,2.15203,124.250121,193.968414
800048,822004,seed=822105 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.29496200741635,800048,44,24587,323879,323879,2.4702064659950165,14,2,1,273,315.971998,2.031547,117.79243,196.148021
802479,822004,seed=822106 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.752029908289035,802479,56,22858,325261,325261,2.4671848146565374,14,2,1,342,310.703023,2.104544,114.333556,194.264923
800868,822004,seed=822107 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.460316628385565,800868,44,58914,324355,324355,2.469109463396587,13,2,1,317,337.523092,2.227226,140.983321,194.312545
802723,822004,seed=822108 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.703256420428511,802723,65,11050,325173,325173,2.468602866781682,14,2,1,337,326.026202,2.168205,129.56975,194.288247
799498,822004,seed=822109 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.303851023748495,799498,55,7368,323810,323810,2.4690343102436616,14,2.0,1,319,309.213791,2.044762,113.396517,193.772512
803258,822004,seed=822110 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.84520629540249,803258,54,34606,325698,325698,2.4662662957709287,13,2.0,1,347,313.412402,2.061334,117.013259,194.337809
800183,822004,seed=822111 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.353165979305064,800183,52,11040,323944,323944,2.4701275529103794,14,2.0,1,291,312.681944,1.983687,116.773484,193.924773
802684,822004,seed=822112 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.815005164019082,802684,57,65439,325328,325328,2.4673068410957555,13,2.0,1,357,313.928274,2.24071,117.536086,194.151478
803255,822004,seed=822113 alpha=0.75 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.757350390885177,803255,59,39526,325799,325799,2.465492527601374,13,2,1,373,312.609987,2.106725,116.685951,193.817311
