n,orig_n,girg_options,spec,contraction:avg_deg,contraction:in_n,contraction:largest_clique,contraction:max_deg,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,weighted_treewidth:treewidth,time_total,time_partition,time_contraction,time_weighted_treewidth
99972,100769,seed=100869 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.322131876508703,99972,13,1139,31484,31484,3.1753271502985645,15,3.0,1,79,30.565464,0.244636,0.15592,30.164908
100149,100769,seed=100870 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.245587909128354,100149,13,2082,31561,31561,3.17318842875701,15,3,1,76,36.800202,0.223591,0.146035,36.430576
100108,100769,seed=100871 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.192735570980318,100108,13,993,31551,31551,3.172894678457101,16,3,1,83,29.832359,0.223348,0.150743,29.458268
100184,100769,seed=100872 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.453140341430969,100184,12,3567,31573,31573,3.1730909321255503,13,3,1,66,78.635046,0.222489,0.148113,78.264444
99997,100769,seed=100873 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.023948096555672,99997,11,1477,31443,31443,3.1802626975797477,15,3,1,60,29.876327,0.221977,0.144596,29.509754
99930,100769,seed=100874 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.012921205979224,99930,12,869,31576,31576,3.1647453762351154,15,3.0,1,68,25.998898,0.223346,0.144263,25.631289
100170,100769,seed=100875 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.061346190445981,100170,11,1255,31526,31526,3.1773774027786588,15,3.0,1,75,27.407438,0.223791,0.146844,27.036803
100069,100769,seed=100876 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.113242299142585,100069,12,1288,31490,31490,3.177802476976818,16,3.0,1,62,29.465882,0.222871,0.143418,29.099593
100181,100769,seed=100877 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,6.963400311081484,100181,10,1243,31503,31503,3.1800463447925593,16,3,1,55,26.228135,0.214216,0.143688,25.870231
100067,100769,seed=100878 alpha=0.95 t=0.2 coords=True,partition:max_radius weighted_treewidth:htd,7.026742378580719,100067,11,612,31523,31523,3.1744123338514734,14,3,1,60,23.472824,0.213813,0.142642,23.116369
