n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
528,seed=708 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,398,821,528,398,398,1.3266331658291457,11,1.0,1,12,0.072869,0.002996,0.000916,0.001314,0.067643
410,seed=709 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,293,613,410,293,293,1.3993174061433447,7,1,1,12,0.044728,0.00197,0.000658,0.000924,0.041176
679,seed=699 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,287,682,679,287,287,2.3658536585365852,13,2,1,26,0.076124,0.004863,0.000857,0.001505,0.068899
670,seed=700 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,284,674,670,284,284,2.359154929577465,13,2.0,1,19,0.063028,0.004092,0.000834,0.001346,0.056756
676,seed=701 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,303,709,676,303,303,2.231023102310231,17,1,1,17,0.080289,0.005716,0.000884,0.001525,0.072164
679,seed=702 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,292,689,679,292,292,2.3253424657534247,15,2.0,1,26,0.086058,0.005537,0.00086,0.001607,0.078054
612,seed=703 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,249,600,612,249,249,2.4578313253012047,10,2,1,23,0.055165,0.003731,0.000801,0.001219,0.049414
684,seed=704 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,301,711,684,301,301,2.272425249169435,14,2,1,21,0.06863,0.005552,0.000873,0.001484,0.060721
651,seed=705 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,280,661,651,280,280,2.325,14,2.0,1,19,0.065163,0.004456,0.00082,0.001402,0.058485
687,seed=706 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,307,713,687,307,307,2.237785016286645,17,2,1,20,0.104578,0.006977,0.000968,0.001755,0.094878
668,seed=707 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,279,670,668,279,279,2.3942652329749103,12,2,1,26,0.085795,0.005224,0.000871,0.00159,0.07811
681,seed=708 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,302,703,681,302,302,2.2549668874172184,14,2.0,1,25,0.091833,0.005996,0.000904,0.001564,0.083369
660,seed=709 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,273,650,660,273,273,2.4175824175824174,11,2,1,21,0.070039,0.004513,0.000921,0.001353,0.063252
675,seed=699 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,291,690,675,291,291,2.3195876288659796,11,2,1,22,0.076392,0.005394,0.000869,0.001535,0.068594
669,seed=700 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,295,693,669,295,295,2.2677966101694915,13,2,1,20,0.06756,0.004409,0.00089,0.001343,0.060918
678,seed=701 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,304,712,678,304,304,2.2302631578947367,16,2.0,1,19,0.072962,0.006373,0.000931,0.001598,0.06406
679,seed=702 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,295,695,679,295,295,2.301694915254237,13,2,1,21,0.087732,0.006045,0.000958,0.001504,0.079225
637,seed=703 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,266,636,637,266,266,2.3947368421052633,10,2.0,1,22,0.057448,0.004255,0.000789,0.001216,0.051188
687,seed=704 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,307,725,687,307,307,2.237785016286645,13,2,1,17,0.081654,0.006121,0.000887,0.001515,0.073131
659,seed=705 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,282,667,659,282,282,2.3368794326241136,14,2.0,1,19,0.06083,0.004891,0.000826,0.001436,0.053677
687,seed=706 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,311,722,687,311,311,2.2090032154340835,16,2,1,26,0.109065,0.00748,0.001037,0.001764,0.098784
672,seed=707 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,295,695,672,295,295,2.2779661016949153,11,2,1,27,0.080111,0.005691,0.000864,0.001688,0.071868
