n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
1412,seed=2573 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,999,2086,1412,999,999,1.4134134134134133,16,1,1,15,0.244944,0.007511,0.001954,0.003577,0.231902
1527,seed=2574 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1089,2266,1527,1089,1089,1.4022038567493114,15,1,1,17,0.234323,0.008794,0.002089,0.003852,0.219588
1444,seed=2575 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1041,2166,1444,1041,1041,1.3871277617675313,15,1,1,16,0.227082,0.008356,0.002018,0.003707,0.213001
1315,seed=2576 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,900,1888,1315,900,900,1.461111111111111,11,1.0,1,18,0.176462,0.0069,0.001993,0.003213,0.164356
1586,seed=2577 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1118,2334,1586,1118,1118,1.4186046511627908,16,1.0,1,17,0.305428,0.009588,0.002135,0.004213,0.289492
1327,seed=2578 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,934,1945,1327,934,934,1.4207708779443255,13,1.0,1,19,0.156504,0.007178,0.001884,0.003211,0.144231
1564,seed=2579 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1116,2328,1564,1116,1116,1.4014336917562724,17,1.0,1,16,0.290192,0.008954,0.002079,0.003903,0.275256
1877,seed=2569 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1388,2872,1877,1388,1388,1.3523054755043227,14,1.0,1,18,0.448044,0.013602,0.002995,0.004971,0.426476
1684,seed=2570 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1214,2512,1684,1214,1214,1.3871499176276771,14,1.0,1,19,0.274185,0.010864,0.002367,0.0042,0.256754
2245,seed=2571 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1709,3517,2245,1709,1709,1.3136337039204213,15,1,1,20,0.576548,0.016858,0.003471,0.011149,0.54507
1515,seed=2572 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1108,2299,1515,1108,1108,1.3673285198555956,16,1.0,1,16,0.280026,0.009269,0.002462,0.00396,0.264335
1470,seed=2573 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1047,2184,1470,1047,1047,1.4040114613180517,13,1,1,18,0.193529,0.008478,0.002126,0.003548,0.179377
1562,seed=2574 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1107,2297,1562,1107,1107,1.4110207768744354,13,1,1,25,0.238395,0.009564,0.002329,0.003834,0.222668
1456,seed=2575 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1049,2184,1456,1049,1049,1.3879885605338418,14,1,1,16,0.198587,0.008897,0.0021,0.003572,0.184018
1345,seed=2576 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,927,1940,1345,927,927,1.4509169363538295,11,1,1,22,0.154126,0.007383,0.001973,0.00325,0.14152
1641,seed=2577 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1154,2406,1641,1154,1154,1.4220103986135182,15,1.0,1,18,0.305362,0.010168,0.002371,0.004301,0.288522
1350,seed=2578 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,957,1997,1350,957,957,1.4106583072100314,11,1,1,20,0.174763,0.007731,0.001998,0.003296,0.161738
1579,seed=2579 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1121,2335,1579,1121,1121,1.408563782337199,15,1,1,16,0.248999,0.009379,0.002308,0.004055,0.233257
2512,seed=2569 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1111,2606,2512,1111,1111,2.261026102610261,17,2,1,28,0.456515,0.025373,0.003443,0.010935,0.416764
2496,seed=2570 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1084,2542,2496,1084,1084,2.302583025830258,17,2.0,1,26,0.412995,0.021818,0.003203,0.010271,0.377703
2536,seed=2571 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1139,2648,2536,1139,1139,2.2265144863915713,19,2,1,26,0.519411,0.03472,0.003557,0.006969,0.474165
2489,seed=2572 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1094,2566,2489,1094,1094,2.2751371115173673,18,2.0,1,35,0.421119,0.020314,0.003203,0.010715,0.386887
2480,seed=2573 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1087,2559,2480,1087,1087,2.281508739650414,17,2,1,25,0.405959,0.018791,0.003317,0.010462,0.373389
2515,seed=2574 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1127,2641,2515,1127,1127,2.2315882874889086,16,2,1,27,0.427926,0.02083,0.003229,0.010731,0.393136
2441,seed=2575 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1066,2512,2441,1066,1066,2.2898686679174483,15,2.0,1,29,0.384284,0.020893,0.003171,0.010561,0.349659
2468,seed=2576 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1076,2518,2468,1076,1076,2.2936802973977697,13,2.0,1,33,0.326908,0.018652,0.002985,0.009915,0.295356
2524,seed=2577 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1098,2587,2524,1098,1098,2.2987249544626596,17,2.0,1,27,0.431501,0.022648,0.003435,0.0108,0.394618
2501,seed=2578 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1108,2593,2501,1108,1108,2.2572202166064983,16,2.0,1,35,0.311629,0.019119,0.003105,0.01041,0.278995
2493,seed=2579 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1065,2520,2493,1065,1065,2.340845070422535,16,2,1,24,0.401501,0.021256,0.003147,0.010375,0.366723
2520,seed=2569 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1127,2642,2520,1127,1127,2.2360248447204967,16,2,1,35,0.514193,0.028364,0.003382,0.011143,0.471304
2506,seed=2570 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1111,2592,2506,1111,1111,2.2556255625562556,16,2,1,30,0.575093,0.024584,0.003283,0.011102,0.536124
2539,seed=2571 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1151,2667,2539,1151,1151,2.205907906168549,18,2,1,29,0.719908,0.037185,0.003767,0.007088,0.671868
2493,seed=2572 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1098,2586,2493,1098,1098,2.2704918032786887,18,2.0,1,25,0.444116,0.022083,0.003155,0.010547,0.408331
2501,seed=2573 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1120,2628,2501,1120,1120,2.2330357142857142,14,2.0,1,28,0.435324,0.020994,0.003236,0.01005,0.401044
2526,seed=2574 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1128,2648,2526,1128,1128,2.2393617021276597,16,2.0,1,30,0.397839,0.02275,0.003296,0.010643,0.36115
2462,seed=2575 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1086,2547,2462,1086,1086,2.2670349907918967,14,2.0,1,25,0.422642,0.022017,0.003192,0.010333,0.3871
2496,seed=2576 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1112,2595,2496,1112,1112,2.2446043165467624,12,2.0,1,34,0.317534,0.021272,0.003124,0.010357,0.282781
2519,seed=2577 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1108,2609,2519,1108,1108,2.273465703971119,16,2.0,1,27,0.473417,0.023834,0.003358,0.01083,0.435395
2497,seed=2578 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1116,2601,2497,1116,1116,2.2374551971326166,14,2.0,1,30,0.366793,0.020589,0.003076,0.010418,0.33271
2487,seed=2579 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1092,2571,2487,1092,1092,2.2774725274725274,16,2.0,1,25,0.413158,0.022643,0.003222,0.010861,0.376432
2533,seed=2569 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1149,2687,2533,1149,1149,2.204525674499565,15,2,1,43,0.6069,0.039552,0.003648,0.00752,0.55618
2519,seed=2570 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1128,2617,2519,1128,1128,2.233156028368794,15,2.0,1,35,0.631836,0.02931,0.003364,0.011165,0.587997
2541,seed=2571 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1171,2697,2541,1171,1171,2.169940222032451,18,2,1,29,0.628274,0.042126,0.003861,0.007575,0.574712
2511,seed=2572 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1138,2653,2511,1138,1138,2.2065026362038664,15,2.0,1,38,0.544371,0.027128,0.003282,0.011303,0.502658
2493,seed=2573 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1143,2652,2493,1143,1143,2.1811023622047245,14,2,1,30,0.467545,0.025047,0.003536,0.01079,0.428172
2518,seed=2574 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1155,2696,2518,1155,1155,2.1800865800865803,14,2,1,38,0.451463,0.027194,0.003484,0.010902,0.409883
2478,seed=2575 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1126,2613,2478,1126,1126,2.2007104795737122,12,2.0,1,33,0.398405,0.026611,0.00333,0.01056,0.357904
2503,seed=2576 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1141,2645,2503,1141,1141,2.193689745836985,11,2,1,44,0.417034,0.025278,0.003224,0.010936,0.377596
2525,seed=2577 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1129,2641,2525,1129,1129,2.236492471213463,15,2,1,32,0.594013,0.030278,0.003766,0.011094,0.548875
2501,seed=2578 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1147,2663,2501,1147,1147,2.180470793374019,13,2,1,38,0.384102,0.024584,0.003154,0.010696,0.345668
2502,seed=2579 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1134,2637,2502,1134,1134,2.2063492063492065,15,2.0,1,33,0.580025,0.027839,0.00336,0.011258,0.537568
2537,seed=2569 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,845,2158,2537,845,845,3.0023668639053254,14,2,1,31,0.30119,0.021744,0.003157,0.009995,0.266294
2549,seed=2570 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,851,2160,2549,851,851,2.9952996474735607,15,2,1,32,0.299486,0.020716,0.00326,0.009615,0.265895
2535,seed=2571 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,845,2153,2535,845,845,3,15,2,1,39,0.543329,0.031875,0.003413,0.006537,0.501504
2529,seed=2572 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,838,2138,2529,838,838,3.0178997613365155,13,2.0,1,35,0.269941,0.019318,0.002885,0.0094,0.238338
2497,seed=2573 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,851,2153,2497,851,851,2.934195064629847,12,2,1,31,0.242168,0.018168,0.002862,0.009297,0.211841
2549,seed=2574 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,864,2197,2549,864,864,2.9502314814814814,14,2.0,1,34,0.281425,0.019977,0.002868,0.009737,0.248843
2493,seed=2575 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,828,2114,2493,828,828,3.010869565217391,14,2.0,1,30,0.262475,0.01933,0.00285,0.009431,0.230864
2531,seed=2576 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,843,2153,2531,843,843,3.002372479240807,12,2,1,26,0.219641,0.01861,0.002774,0.009058,0.189199
2550,seed=2577 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,839,2140,2550,839,839,3.0393325387365913,17,2,1,36,0.255074,0.020237,0.002979,0.009505,0.222353
2537,seed=2578 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,858,2171,2537,858,858,2.956876456876457,12,2.0,1,27,0.24186,0.018674,0.00284,0.009481,0.210865
2511,seed=2579 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,824,2104,2511,824,824,3.0473300970873787,17,2.0,1,32,0.258463,0.019186,0.002889,0.009595,0.226793
2546,seed=2569 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,855,2183,2546,855,855,2.977777777777778,14,2,1,35,0.363184,0.024534,0.003078,0.010041,0.325531
2550,seed=2570 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,873,2206,2550,873,873,2.9209621993127146,15,2,1,36,0.334286,0.022879,0.003082,0.009952,0.298373
2550,seed=2571 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,871,2204,2550,871,871,2.9276693455797935,14,2,1,31,0.378035,0.033864,0.00327,0.005786,0.335115
2541,seed=2572 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,865,2194,2541,865,865,2.9375722543352603,11,2,1,39,0.292869,0.021883,0.002874,0.009618,0.258494
2517,seed=2573 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,872,2194,2517,872,872,2.886467889908257,11,2.0,1,33,0.258192,0.020501,0.002848,0.009169,0.225674
2547,seed=2574 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,865,2205,2547,865,865,2.9445086705202312,12,2,1,30,0.230092,0.022517,0.002935,0.00946,0.19518
2518,seed=2575 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,863,2177,2518,863,863,2.917728852838934,13,2,1,35,0.27871,0.021791,0.002884,0.009669,0.244366
2546,seed=2576 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,856,2186,2546,856,856,2.9742990654205608,12,2.0,1,27,0.264525,0.020912,0.002904,0.009336,0.231373
2552,seed=2577 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,877,2218,2552,877,877,2.909920182440137,16,2,1,28,0.302894,0.023122,0.002991,0.009678,0.267103
2536,seed=2578 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,866,2192,2536,866,866,2.928406466512702,13,2.0,1,25,0.250871,0.020371,0.00288,0.009611,0.218009
2526,seed=2579 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,857,2167,2526,857,857,2.9474912485414237,16,2,1,31,0.261238,0.021818,0.003011,0.00951,0.226899
2550,seed=2569 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,921,2299,2550,921,921,2.768729641693811,12,2,1,50,0.497082,0.036499,0.003373,0.006781,0.450429
2552,seed=2570 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,898,2252,2552,898,898,2.8418708240534523,15,2.0,1,40,0.435699,0.033773,0.003344,0.006171,0.392411
2554,seed=2571 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,921,2291,2554,921,921,2.773072747014115,13,2,1,40,0.687532,0.042402,0.003395,0.007299,0.634436
2544,seed=2572 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,898,2251,2544,898,898,2.8329621380846324,11,2.0,1,47,0.367048,0.026087,0.003069,0.010092,0.3278
2527,seed=2573 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,921,2299,2527,921,921,2.743756786102063,12,2,1,39,0.34403,0.025926,0.002968,0.010181,0.304955
2552,seed=2574 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,938,2328,2552,938,938,2.720682302771855,11,2.0,1,37,0.396435,0.033059,0.00338,0.006128,0.353868
2533,seed=2575 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,908,2264,2533,908,908,2.789647577092511,12,2.0,1,32,0.332275,0.026304,0.003185,0.009624,0.293162
2538,seed=2576 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,924,2290,2538,924,924,2.7467532467532467,10,2.0,1,42,0.355167,0.025644,0.003099,0.009927,0.316497
2554,seed=2577 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,906,2268,2554,906,906,2.8189845474613686,15,2.0,1,46,0.413173,0.033721,0.003497,0.006113,0.369842
2541,seed=2578 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,926,2305,2541,926,926,2.7440604751619873,12,2.0,1,31,0.323875,0.025038,0.003042,0.009778,0.286017
2536,seed=2579 alpha=0.95 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,894,2232,2536,894,894,2.83668903803132,14,2.0,1,35,0.32907,0.026754,0.003522,0.009757,0.289037
2270,seed=3337 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1650,3409,2270,1650,1650,1.3757575757575757,16,1.0,1,19,0.484507,0.013597,0.003549,0.010761,0.4566
2224,seed=3338 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1568,3273,2224,1568,1568,1.4183673469387754,18,1.0,1,18,0.530469,0.014222,0.003297,0.010606,0.502344
1980,seed=3339 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1387,2894,1980,1387,1387,1.4275414563806776,20,1,1,16,0.396635,0.011447,0.002759,0.005193,0.377236
1903,seed=3340 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1329,2779,1903,1329,1329,1.4319036869826938,17,1,1,18,0.298321,0.010556,0.003318,0.005026,0.279421
1825,seed=3341 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1296,2692,1825,1296,1296,1.408179012345679,20,1.0,1,18,0.363776,0.010679,0.002747,0.004821,0.345529
2201,seed=3342 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1591,3318,2201,1591,1591,1.3834066624764298,16,1,1,16,0.415651,0.014311,0.003144,0.010647,0.387549
1808,seed=3343 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1262,2629,1808,1262,1262,1.432646592709984,14,1.0,1,19,0.291139,0.009536,0.002446,0.004439,0.274718
2225,seed=3344 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1646,3410,2225,1646,1646,1.3517618469015795,21,1.0,1,16,0.589972,0.014983,0.003248,0.010376,0.561365
2144,seed=3345 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1541,3194,2144,1541,1541,1.391304347826087,18,1,1,17,0.431052,0.0148,0.003106,0.010527,0.402619
1730,seed=3346 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1196,2497,1730,1196,1196,1.4464882943143813,14,1.0,1,20,0.240219,0.00982,0.002321,0.004067,0.224011
1912,seed=3347 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1333,2787,1912,1333,1333,1.4343585896474118,15,1,1,19,0.318923,0.011401,0.002846,0.004805,0.299871
2278,seed=3337 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1655,3423,2278,1655,1655,1.3764350453172205,16,1,1,18,0.483885,0.014653,0.003179,0.01083,0.455223
2221,seed=3338 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1574,3278,2221,1574,1574,1.4110546378653113,18,1.0,1,17,0.418672,0.014579,0.003076,0.010461,0.390556
1999,seed=3339 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1398,2919,1999,1398,1398,1.4298998569384835,17,1.0,1,18,0.391969,0.012039,0.002969,0.005128,0.371833
1906,seed=3340 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1323,2760,1906,1323,1323,1.4406651549508693,16,1,1,20,0.300637,0.010891,0.002668,0.004917,0.282161
1815,seed=3341 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1296,2690,1815,1296,1296,1.400462962962963,19,1.0,1,17,0.314463,0.011001,0.002521,0.004862,0.296079
2210,seed=3342 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1590,3318,2210,1590,1590,1.389937106918239,15,1.0,1,18,0.465946,0.014553,0.00332,0.010624,0.437449
1836,seed=3343 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1288,2683,1836,1288,1288,1.4254658385093169,14,1.0,1,16,0.261235,0.009917,0.002534,0.004252,0.244532
2238,seed=3344 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1656,3428,2238,1656,1656,1.3514492753623188,19,1.0,1,19,0.459069,0.01574,0.003533,0.010573,0.429223
2167,seed=3345 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1559,3229,2167,1559,1559,1.3899935856318153,18,1,1,17,0.578006,0.015251,0.003214,0.010415,0.549126
1723,seed=3346 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1189,2483,1723,1189,1189,1.449116904962153,11,1,1,20,0.219847,0.009987,0.002362,0.004207,0.203291
1929,seed=3347 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1354,2828,1929,1354,1354,1.4246676514032497,15,1.0,1,17,0.321871,0.011609,0.002694,0.004878,0.30269
2275,seed=3337 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1650,3407,2275,1650,1650,1.378787878787879,14,1.0,1,18,0.448477,0.015586,0.003395,0.010484,0.419012
2203,seed=3338 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1572,3273,2203,1572,1572,1.4013994910941476,16,1.0,1,21,0.508159,0.01529,0.003079,0.010567,0.479223
2020,seed=3339 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1430,2974,2020,1430,1430,1.4125874125874125,16,1.0,1,21,0.340144,0.012917,0.002921,0.009831,0.314475
1956,seed=3340 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1361,2849,1956,1361,1361,1.4371785451873622,16,1,1,20,0.369835,0.011724,0.002857,0.005083,0.350171
1900,seed=3341 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1349,2801,1900,1349,1349,1.408450704225352,17,1,1,20,0.331127,0.012101,0.002721,0.00492,0.311385
2245,seed=3342 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1618,3370,2245,1618,1618,1.3875154511742893,15,1.0,1,20,0.505877,0.015097,0.00363,0.010808,0.476342
1843,seed=3343 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1291,2690,1843,1291,1291,1.4275755228505034,13,1,1,22,0.294668,0.010529,0.002571,0.004479,0.277089
2249,seed=3344 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1642,3399,2249,1642,1642,1.369671132764921,19,1.0,1,17,0.436149,0.016829,0.003266,0.010497,0.405557
2132,seed=3345 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1539,3183,2132,1539,1539,1.3853151397011045,16,1,1,21,0.457382,0.016288,0.003548,0.010479,0.427067
1791,seed=3346 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1251,2610,1791,1251,1251,1.4316546762589928,11,1,1,19,0.252522,0.011022,0.002479,0.004338,0.234683
1969,seed=3347 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,1376,2874,1969,1376,1376,1.4309593023255813,14,1.0,1,15,0.363345,0.012371,0.002665,0.00459,0.343719
3255,seed=3337 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1421,3331,3255,1421,1421,2.29064039408867,16,2,1,27,0.804127,0.033956,0.004339,0.007964,0.757868
3265,seed=3338 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1417,3325,3265,1417,1417,2.304163726182075,19,2,1,27,0.713834,0.034931,0.004319,0.00818,0.666404
3243,seed=3339 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1401,3289,3243,1401,1401,2.314775160599572,19,2,1,29,0.749819,0.033469,0.00421,0.008262,0.703878
3227,seed=3340 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1377,3270,3227,1377,1377,2.3435003631082063,17,2,1,30,0.508232,0.030999,0.004039,0.007706,0.465488
3208,seed=3341 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1395,3273,3208,1395,1395,2.2996415770609318,21,2,1,30,0.580765,0.031775,0.004131,0.007418,0.537441
3200,seed=3342 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1372,3252,3200,1372,1372,2.3323615160349855,19,2.0,1,30,0.69018,0.032908,0.004131,0.007672,0.645469
3224,seed=3343 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1444,3373,3224,1444,1444,2.2326869806094183,14,2.0,1,29,0.502271,0.0297,0.004188,0.007634,0.460749
3261,seed=3344 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1418,3339,3261,1418,1418,2.2997179125528913,21,2.0,1,26,0.802108,0.035917,0.004392,0.00813,0.753669
3245,seed=3345 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1421,3350,3245,1421,1421,2.283603096410978,19,2,1,27,0.671504,0.036706,0.004616,0.008501,0.621681
3242,seed=3346 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1403,3308,3242,1403,1403,2.310762651461155,16,2,1,32,0.40697,0.03118,0.004148,0.007244,0.364398
3178,seed=3347 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1386,3265,3178,1386,1386,2.292929292929293,16,2.0,1,36,0.517099,0.031608,0.004371,0.00767,0.47345
3260,seed=3337 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1445,3376,3260,1445,1445,2.2560553633217992,14,2,1,24,0.595209,0.036067,0.004469,0.007903,0.54677
3267,seed=3338 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1427,3349,3267,1427,1427,2.289418360196216,18,2,1,34,0.585311,0.040202,0.004311,0.008323,0.532475
3243,seed=3339 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1435,3353,3243,1435,1435,2.25993031358885,18,2,1,39,0.637205,0.035624,0.004359,0.008732,0.58849
3238,seed=3340 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,1399,3301,3238,1399,1399,2.3145103645461043,18,2,1,29,0.540888,0.033235,0.004221,0.008089,0.495343
