n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
679,689,seed=699 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,287,682,679,287,287,2.3658536585365852,13,2,1,26,0.09259,0.003814,0.000821,0.00123,0.086725
670,689,seed=700 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,284,674,670,284,284,2.359154929577465,13,2.0,1,19,0.067931,0.003204,0.000774,0.001019,0.062934
676,689,seed=701 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,303,709,676,303,303,2.231023102310231,17,1,1,17,0.095013,0.004628,0.000875,0.00127,0.08824
679,689,seed=702 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,292,689,679,292,292,2.3253424657534247,15,2.0,1,26,0.109311,0.004269,0.000864,0.001339,0.102839
612,689,seed=703 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,249,600,612,249,249,2.4578313253012047,10,2,1,23,0.07652,0.002931,0.000692,0.001036,0.071861
684,689,seed=704 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,301,711,684,301,301,2.272425249169435,14,2,1,21,0.087713,0.004245,0.00088,0.001203,0.081385
651,689,seed=705 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,280,661,651,280,280,2.325,14,2.0,1,19,0.083343,0.003563,0.000818,0.001176,0.077786
687,689,seed=706 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,307,713,687,307,307,2.237785016286645,17,2,1,20,0.118006,0.005474,0.000951,0.001329,0.110252
668,689,seed=707 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,279,670,668,279,279,2.3942652329749103,12,2,1,26,0.099489,0.004088,0.000811,0.001315,0.093275
681,689,seed=708 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,302,703,681,302,302,2.2549668874172184,14,2.0,1,25,0.096778,0.004762,0.000901,0.001231,0.089884
660,689,seed=709 alpha=0.75 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,273,650,660,273,273,2.4175824175824174,11,2,1,21,0.087294,0.003508,0.000792,0.001113,0.081881
