n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
1002,1969,seed=1979 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,716,1490,1002,716,716,1.399441340782123,12,1.0,1,12,0.12977,0.003766,0.001328,0.001715,0.122961
1092,1969,seed=1980 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,771,1612,1092,771,771,1.416342412451362,13,1,1,15,0.156826,0.004325,0.001487,0.002041,0.148973
1412,1969,seed=1981 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1031,2144,1412,1031,1031,1.3695441319107662,16,1,1,16,0.257123,0.006759,0.00201,0.003048,0.245306
1388,1969,seed=1982 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1024,2110,1388,1024,1024,1.35546875,12,1.0,1,15,0.223921,0.006192,0.001924,0.002886,0.212919
1151,1969,seed=1983 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,792,1658,1151,792,792,1.4532828282828283,10,1.0,1,20,0.151682,0.004546,0.001526,0.002193,0.143417
1390,1969,seed=1984 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1030,2130,1390,1030,1030,1.3495145631067962,17,1.0,1,16,0.239585,0.006416,0.001964,0.003045,0.22816
1448,1969,seed=1985 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1066,2196,1448,1066,1066,1.3583489681050656,12,1.0,1,19,0.253353,0.006888,0.002075,0.003303,0.241087
1372,1969,seed=1986 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1009,2092,1372,1009,1009,1.3597621407333995,13,1,1,19,0.246209,0.006637,0.002018,0.002946,0.234608
969,1969,seed=1987 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,670,1407,969,670,670,1.4462686567164178,10,1.0,1,19,0.115373,0.003735,0.001318,0.001692,0.108628
1180,1969,seed=1988 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,831,1734,1180,831,831,1.4199759326113117,14,1,1,15,0.160064,0.004759,0.001586,0.002217,0.151502
1598,1969,seed=1989 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,1220,2518,1598,1220,1220,1.3098360655737704,11,1.0,1,15,0.334716,0.008472,0.002327,0.003644,0.320273
