n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
1143,1165,seed=1175 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,387,986,1143,387,387,2.953488372093023,14,2,1,23,0.113694,0.006278,0.001198,0.001702,0.104516
1157,1165,seed=1176 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,400,1012,1157,400,400,2.8925,12,2.0,1,25,0.132159,0.008317,0.001368,0.002059,0.120415
1154,1165,seed=1177 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,384,971,1154,384,384,3.0052083333333335,12,2.0,1,26,0.106381,0.006715,0.001242,0.001719,0.096705
1152,1165,seed=1178 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,381,983,1152,381,381,3.0236220472440944,14,2,1,34,0.12803,0.007446,0.001315,0.001902,0.117367
1164,1165,seed=1179 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,406,1030,1164,406,406,2.8669950738916254,13,2.0,1,30,0.142454,0.008358,0.001355,0.002027,0.130714
1149,1165,seed=1180 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,382,976,1149,382,382,3.007853403141361,11,2.0,1,22,0.108228,0.006793,0.001225,0.001749,0.098461
1140,1165,seed=1181 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,382,964,1140,382,382,2.9842931937172774,11,2.0,1,25,0.111545,0.006826,0.001226,0.00176,0.101733
1146,1165,seed=1182 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,391,996,1146,391,391,2.9309462915601023,13,2,1,26,0.11407,0.006646,0.001256,0.001649,0.104519
1161,1165,seed=1183 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,397,1004,1161,397,397,2.924433249370277,12,2,1,23,0.117296,0.00658,0.001274,0.001797,0.107645
1138,1165,seed=1184 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,392,982,1138,392,392,2.9030612244897958,12,2.0,1,20,0.102983,0.006209,0.00121,0.001529,0.094035
1155,1165,seed=1185 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,378,965,1155,378,378,3.0555555555555554,12,2.0,1,35,0.154255,0.008317,0.001307,0.002085,0.142546
