n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
1957,1969,seed=1979 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,671,1702,1957,671,671,2.916542473919523,11,2,1,26,0.1577,0.011928,0.002155,0.003256,0.140361
1939,1969,seed=1980 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,672,1698,1939,672,672,2.8854166666666665,13,2.0,1,34,0.200084,0.011926,0.002098,0.009198,0.176862
1961,1969,seed=1981 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,686,1720,1961,686,686,2.858600583090379,13,2.0,1,27,0.222001,0.015202,0.002338,0.010142,0.194319
1963,1969,seed=1982 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,668,1700,1963,668,668,2.938622754491018,12,2.0,1,27,0.253563,0.018686,0.003809,0.010582,0.220486
1846,1969,seed=1983 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,631,1597,1846,631,631,2.925515055467512,13,2,1,26,0.19251,0.012185,0.002048,0.009097,0.16918
1943,1969,seed=1984 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,679,1708,1943,679,679,2.861561119293078,14,2,1,35,0.219487,0.015623,0.002254,0.010165,0.191445
1942,1969,seed=1985 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,670,1692,1942,670,670,2.8985074626865672,13,2.0,1,30,0.270415,0.014304,0.002203,0.0096,0.244308
1949,1969,seed=1986 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,671,1691,1949,671,671,2.9046199701937407,13,2,1,29,0.24218,0.014428,0.00222,0.00927,0.216262
1932,1969,seed=1987 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,656,1662,1932,656,656,2.9451219512195124,12,2.0,1,30,0.192606,0.012625,0.002126,0.0089,0.168955
1961,1969,seed=1988 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,649,1634,1961,649,649,3.021571648690293,12,2,1,30,0.203357,0.013457,0.002168,0.008991,0.178741
1956,1969,seed=1989 alpha=0.95 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,659,1676,1956,659,659,2.968133535660091,12,2,1,29,0.277072,0.014453,0.0022,0.009397,0.251022
