n,orig_n,girg_options,spec,algo:max_weight,time_total
76358,77515,seed=1064682 alpha=0.95 t=0.0 coords=True,algo:part_treedec,8.906890595608518,41.698764
76399,77515,seed=1064683 alpha=0.95 t=0.0 coords=True,algo:part_treedec,9.661778097771986,37.557377
76329,77515,seed=1064684 alpha=0.95 t=0.0 coords=True,algo:part_treedec,9.044394119358454,27.010826
76294,77515,seed=1064685 alpha=0.95 t=0.0 coords=True,algo:part_treedec,8.78135971352466,26.827659
76540,77515,seed=1064686 alpha=0.95 t=0.0 coords=True,algo:part_treedec,9.870364719583405,28.237907
75805,77515,seed=1064687 alpha=0.95 t=0.0 coords=True,algo:part_treedec,8.169925001442312,23.158178
75733,77515,seed=1064688 alpha=0.95 t=0.0 coords=True,algo:part_treedec,8.584962500721156,21.523456
76269,77515,seed=1064689 alpha=0.95 t=0.0 coords=True,algo:part_treedec,8.906890595608518,29.582727
75634,77515,seed=1064690 alpha=0.95 t=0.0 coords=True,algo:part_treedec,9.754887502163468,21.127237
75806,77515,seed=1064691 alpha=0.95 t=0.0 coords=True,algo:part_treedec,9.799281621521923,25.625427
