n,orig_n,girg_options,spec,algo:max_weight,time_total
9219,9502,seed=996669 alpha=0.75 t=0.1 coords=True,algo:part_treedec,12.584962500721156,3.084005
9252,9502,seed=996670 alpha=0.75 t=0.1 coords=True,algo:part_treedec,11.906890595608518,2.619373
9252,9502,seed=996671 alpha=0.75 t=0.1 coords=True,algo:part_treedec,14.321928094887362,2.417356
9220,9502,seed=996672 alpha=0.75 t=0.1 coords=True,algo:part_treedec,11.62935662007961,2.569442
9255,9502,seed=996673 alpha=0.75 t=0.1 coords=True,algo:part_treedec,12.491853096329676,2.458106
9377,9502,seed=996674 alpha=0.75 t=0.1 coords=True,algo:part_treedec,11.79928162152192,4.752328
9232,9502,seed=996675 alpha=0.75 t=0.1 coords=True,algo:part_treedec,10.579315937580013,2.080647
9244,9502,seed=996676 alpha=0.75 t=0.1 coords=True,algo:part_treedec,11.491853096329674,2.348699
9354,9502,seed=996677 alpha=0.75 t=0.1 coords=True,algo:part_treedec,11.550746785383243,2.900693
9265,9502,seed=996678 alpha=0.75 t=0.1 coords=True,algo:part_treedec,15.339850002884624,2.150165
